year,HFC-134a,HFC-23,HFC-32,HFC-125,HFC-143a,HFC-152a,HFC-227ea,HFC-236fa,HFC-245fa,HFC-365mfc,HFC-43-10mee,NF3,SF6,SO2F2,CF4,C2F6,C3F8,c-C4F8,CFC-12,CFC-11,CFC-113,CFC-114,CFC-115,CFC-13,HCFC-22,HCFC-141b,HCFC-142b,CH3CCl3,CCl4,CH3Cl,CH3Br,CH2Cl2,CHCl3,Halon-1211,Halon-1301,Halon-2402,n-C4F10,n-C5F12,n-C6F14,i-C6F14,C7F16,C8F18,CFC-112,CFC-112a,CFC-113a,CFC-114a,HCFC-133a,HCFC-31,HCFC-124
2424,5.229218924483802e-11,0.0006556888518208266,-2.4337258405127052e-08,8.813529492889841e-06,0.00027649272012710577,0.0,3.868091713565815e-07,0.0005515205023352305,0.0,0.0,0.0,0.0026111073472595207,0.039223981244297025,7.850482141115561e-07,0.012318524642055349,0.0019785785338618813,0.00033954752383818235,0.0015197526331329344,0.0012930439894731523,7.496190910163195e-06,9.442378782267374e-05,0.0003748762381190062,0.0010272958908975128,0.0,0.0,0.0,0.0,0.0,-4.154071229115464e-06,-0.0004622299266052255,-4.076210508600314e-06,5.7984744855245244e-06,4.630413410846396e-05,-1.3345942943548388e-06,1.5771756660158278e-06,0.0,0.00010472068536669016,6.367608698656162e-05,0.0002352728240617116,0.0,0.0001371218332517147,7.908365138864768e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,4.709539040604226e-11,0.0006515646940865119,-2.4337258405127052e-08,8.407219698329766e-06,0.0002688571197986603,0.0,3.7149897497598487e-07,0.0005479757532199224,0.0,0.0,0.0,0.00260556597038269,0.03921174292251587,7.619300522563683e-07,0.012318229034526663,0.0019783801361340733,0.00033949892669300237,0.0015192786313247676,0.0012768202476610186,7.317438705473252e-06,9.31298180521528e-05,0.0003723741770525773,0.0010249786627789337,0.0,0.0,0.0,0.0,0.0,-4.154071229115464e-06,-0.00046221123758951937,-4.076081075922102e-06,5.7984744855245244e-06,4.630413410846396e-05,-1.3345942943548388e-06,1.5497299030842257e-06,0.0,0.00010469966648290558,6.36605980053544e-05,0.00023519696377436323,0.0,0.00013707604988118013,7.905743108251442e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2426,4.241498033129195e-11,0.0006474634779141347,-2.4337258405127052e-08,8.019659184391299e-06,0.0002614332015514374,0.0,3.567953966239298e-07,0.0005444560673030219,0.0,0.0,0.0,0.0026000450042724613,0.039199504960950225,7.394904464748702e-07,0.01231793317627064,0.0019781817384062666,0.0003394503268657128,0.0015188046295166015,0.0012608007594396595,7.142995422478578e-06,9.185328731005391e-05,0.00036988783197154613,0.0010226688615481057,0.0,0.0,0.0,0.0,0.0,-4.154071229115464e-06,-0.0004621972889709481,-4.075907869592747e-06,5.7984744855245244e-06,4.630413410846396e-05,-1.3345942943548388e-06,1.5227602456114254e-06,0.0,0.00010467864759912094,6.364511003643276e-05,0.00023512110348701478,0.0,0.00013703026651064554,7.903065311861535e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2427,3.8199986982216205e-11,0.0006433909216076136,-2.4337258405127052e-08,7.649959634741147e-06,0.00025421592020988466,0.0,3.426710978379809e-07,0.0005409589392608405,0.0,0.0,0.0,0.002594544481430054,0.03918726699938456,7.177083512288531e-07,0.012317538782171723,0.001977983351051654,0.0003394017270384232,0.0015183274717712402,0.0012449855817716602,6.972685475611732e-06,9.05942644661665e-05,0.00036741718414038413,0.0010203615065912403,0.0,0.0,0.0,0.0,0.0,-4.154071229115464e-06,-0.0004621786473592127,-4.0757351782475345e-06,5.7984744855245244e-06,4.630413410846396e-05,-1.3345942943548388e-06,1.4962606979801783e-06,0.0,0.00010465799960449339,6.362962156136832e-05,0.0002350452387404442,0.0,0.0001369844818905989,7.90044328124821e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2428,3.4403785336441703e-11,0.0006393432167613506,-2.4337258405127052e-08,7.297325774021446e-06,0.0002471968793869019,0.0,3.291042407190258e-07,0.0005374818687504529,0.0,0.0,0.0,0.002589043958587647,0.03917502903781891,6.965648063161268e-07,0.012317243174643036,0.0019777849325774565,0.000339353132575353,0.0015178534075927735,0.0012293638917657854,6.806420594336091e-06,8.935240816588204e-05,0.0003649622772753239,0.001018061510026455,0.0,0.0,0.0,0.0,0.0,-4.154071229115464e-06,-0.0004621646631876639,-4.075605573907933e-06,5.7984744855245244e-06,4.630413410846396e-05,-1.3345942943548388e-06,1.4702222667646126e-06,0.0,0.00010463698072070878,6.361413207401833e-05,0.00023496938068270684,0.0,0.00013693919957439104,7.897821527731915e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,3.098476422562632e-11,0.0006353203481872877,-2.4337258405127052e-08,6.960939719804251e-06,0.00024037104392051696,0.0,3.160729449539704e-07,0.0005340298614384731,0.0,0.0,0.0,0.002583543451995849,0.039162791076253256,6.760387416651176e-07,0.012316947191023343,0.0019775891696411827,0.00033930453274806345,0.0015173793933105466,0.0012139393136665346,6.6441424927973155e-06,8.812804179777701e-05,0.000362523077027897,0.0010157640184462072,0.0,0.0,0.0,0.0,0.0,-4.154071229115464e-06,-0.0004621460215759286,-4.075432539239967e-06,5.7984744855245244e-06,4.630413410846396e-05,-1.3345942943548388e-06,1.4446389912057202e-06,0.0,0.00010461596183692414,6.359823615401984e-05,0.0002348939640879631,0.0,0.00013689341620385647,7.895199497118592e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2430,2.7905824178115305e-11,0.0006313223348704972,-2.4337258405127052e-08,6.640076739499345e-06,0.00023373504090309149,0.0,3.035553620402067e-07,0.0005306004219627381,0.0,0.0,0.0,0.0025780838319396965,0.039150553114687604,6.561132701429708e-07,0.012316651583494655,0.0019773907719133747,0.00033925593828499316,0.0015169053790283203,0.0011987118759552,6.485733598280652e-06,8.691994666601222e-05,0.0003601027340893944,0.0010134738852580387,0.0,0.0,0.0,0.0,0.0,-4.154071229115464e-06,-0.00046212740366617953,-4.075260191217508e-06,5.7984744855245244e-06,4.630413410846396e-05,-1.3345942943548388e-06,1.4194988219719379e-06,0.0,0.00010459494386891526,6.358274717281264e-05,0.00023481810603022578,0.0,0.00013684763408283393,7.892577535779527e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2431,2.513270468275172e-11,0.0006273510715212423,-2.4337258405127052e-08,6.333988549973196e-06,0.00022728048229217533,0.0,2.915351016244682e-07,0.00052719104499956,0.0,0.0,0.0,0.0025726037523651126,0.03913831515312195,6.367736594640509e-07,0.012316355725238641,0.0019771923638123726,0.0003392073357755939,0.0015164313647460942,0.0011836707557405473,6.331106095252231e-06,8.572873661001524e-05,0.00035769811025887727,0.0010111886837581793,0.0,0.0,0.0,0.0,0.0,-4.154071229115464e-06,-0.0004621087383524583,-4.075130415216531e-06,5.7984744855245244e-06,4.630413410846396e-05,-1.3345942943548388e-06,1.3947958331624978e-06,0.0,0.000104574294958512,6.356725768546265e-05,0.0002347422457428773,0.0,0.00013680235426565012,7.889899600841104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2432,2.263516011192716e-11,0.0006234046406471729,-2.4337258405127052e-08,6.042020743678634e-06,0.00022100568413734438,0.0,2.799875556444271e-07,0.0005238042159495752,0.0,0.0,0.0,0.002567164608078003,0.0391260771915563,6.179988354678902e-07,0.012316059992346282,0.001976993966084565,0.0003391587359483043,0.001515957325515747,0.0011688231801506045,6.180172259178755e-06,8.455379928752781e-05,0.0003553092055363456,0.0010089084139466285,0.0,0.0,0.0,0.0,0.0,-4.154071229115464e-06,-0.00046209477788289435,-4.0749577238713115e-06,5.7984744855245244e-06,4.630413410846396e-05,-1.3345942943548388e-06,1.3705270269687751e-06,0.0,0.00010455327699050308,6.3551769716541e-05,0.00023466638768513995,0.0,0.00013675657089511553,7.887277570227783e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2433,2.038594966682202e-11,0.0006194830612333617,-2.4337258405127052e-08,5.763518550194178e-06,0.0002149039189815521,0.0,2.68894425117615e-07,0.0005204399547358355,0.0,0.0,0.0,0.002561725463790893,0.039113839590206145,5.99774041335488e-07,0.012315665723611029,0.0019767981616555107,0.0003391101414852342,0.0015154833486557009,0.0011541583690160755,6.032843865023878e-06,8.339483825902146e-05,0.0003529360136766234,0.0010066330660382908,0.0,0.0,0.0,0.0,0.0,-4.154071229115464e-06,-0.00046207613627116,-4.074784860864725e-06,5.7984744855245244e-06,4.630413410846396e-05,-1.3345942943548388e-06,1.3466774375864767e-06,0.0,0.00010453225993826985,6.353628022919099e-05,0.00023459097109039624,0.0,0.00013671078502555689,7.884655678162972e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2434,1.8360339475632278e-11,0.0006155844195844729,-2.4337258405127052e-08,5.497851039941113e-06,0.0002089718406200409,0.0,2.5824040389818706e-07,0.0005170957460731269,0.0,0.0,0.0,0.002556286287002564,0.039101601988856,5.820824185562489e-07,0.012315369990718679,0.001976599784674094,0.0003390615443400542,0.0015150124528884883,0.0011396799181001664,5.889003704075047e-06,8.225185277591151e-05,0.00035057853155712285,0.0010043626400331655,0.0,0.0,0.0,0.0,0.0,-4.154071229115464e-06,-0.00046205744725545347,-4.074655428186505e-06,5.7984744855245244e-06,4.630413410846396e-05,-1.3345942943548388e-06,1.3232440439681524e-06,0.0,0.00010451124013870955,6.352079175412655e-05,0.00023451511080304784,0.0,0.000136665502709349,7.882033647549648e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2435,7.037061606354201e-12,0.0006117125354971489,-2.4337258405127052e-08,5.244456846347699e-06,0.00020320271825790404,0.0,2.480069173127904e-07,0.0005137741102274261,0.0,0.0,0.0,0.0025508675534820554,0.03908942022090911,5.64909218488961e-07,0.012315073881735321,0.0019764013765730917,0.00033901294183065494,0.0015145384386062622,0.0011253806643577577,5.7486224286538535e-06,8.112484208961328e-05,0.0003482367747907838,0.0010020995919903122,0.0,0.0,0.0,0.0,0.0,-4.154071229115464e-06,-0.0004620434986368827,-4.0744822218571545e-06,5.7984744855245244e-06,4.630413410846396e-05,-1.3345942943548388e-06,1.300217899165582e-06,0.0,0.00010449059214408202,6.350530378520489e-05,0.00023443969866752625,0.0,0.0001366197193388144,7.879411616936326e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2436,0.0,0.0006078635739866893,-2.4337258405127052e-08,5.002728372653946e-06,0.00019759152007102967,0.0,2.381775683809738e-07,0.0005104750422179698,0.0,0.0,0.0,0.00254546926322937,0.03907718261955897,5.482396843146236e-07,0.01231477814884297,0.001976205613636817,0.0003389670428878069,0.0015140643993759159,0.0011112641750707628,5.611553664370439e-06,8.00129034070174e-05,0.0003459107308872541,0.0009998390195767085,0.0,0.0,0.0,0.0,0.0,-4.154071229115464e-06,-0.0004620248570251473,-4.074309530511941e-06,5.7984744855245244e-06,4.630413410846396e-05,-1.3345942943548388e-06,1.2775929610838646e-06,0.0,0.00010446957326029738,6.34898142978549e-05,0.00023436383615056675,0.0,0.00013657444202065468,7.876789724871516e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2437,0.0,0.0006040394639364878,-2.4337258405127052e-08,4.772127766544e-06,0.00019213656210899353,0.0,2.287362344877335e-07,0.0005071960068364938,0.0,0.0,0.0,0.0025400709892272953,0.03906500085161209,5.320569534337471e-07,0.012314482541314283,0.0019760072055358146,0.0003389184484247367,0.0015135903975677487,0.0010973232871940616,5.477768018046115e-06,7.891633915632964e-05,0.000343600409214298,0.0009975858153402808,0.0,0.0,0.0,0.0,0.0,-4.154071229115464e-06,-0.0004620062272644051,-4.074180097833722e-06,5.7984744855245244e-06,4.630413410846396e-05,-1.3345942943548388e-06,1.2553632573445792e-06,0.0,0.00010444855529228847,6.347432582279046e-05,0.00023428842847426733,0.0,0.000136528656151096,7.874167694258194e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2438,0.0,0.0006002402015495301,-2.4337258405127052e-08,4.552187537032489e-06,0.0001868328025341034,0.0,2.1966734042352436e-07,0.0005039370389483374,0.0,0.0,0.0,0.002534693174743653,0.039052763970692954,5.163483952522913e-07,0.01231408814721536,0.0019758088078080075,0.00033886985127955677,0.001513119501800537,0.0010835579936073305,5.3472068398243275e-06,7.783483642915886e-05,0.00034130580040415135,0.0009953350965181986,0.0,0.0,0.0,0.0,0.0,-4.154071229115464e-06,-0.0004619875856526697,-4.074007234827128e-06,5.7984744855245244e-06,4.630413410846396e-05,-1.3345942943548388e-06,1.2335198526189197e-06,0.0,0.00010442790455033381,6.345883633544048e-05,0.00023421301633874577,0.0,0.0001364833763339122,7.871545732919126e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2439,0.0,0.0005964638579424224,-2.4337258405127052e-08,4.342370013240725e-06,0.00018167519783973695,0.0,2.1095667750429194e-07,0.0005007006339156628,0.0,0.0,0.0,0.0025293153440093994,0.03904058184253057,5.011013546428501e-07,0.012313792414323007,0.001975610399707005,0.00033882125413437685,0.0015126454750442509,0.0010699647483896255,5.219723391313013e-06,7.67681242378553e-05,0.00033902691070199003,0.000993091765443484,0.0,0.0,0.0,0.0,0.0,-4.154071229115464e-06,-0.0004619735896301278,-4.0738347151432855e-06,5.7984744855245244e-06,4.630413410846396e-05,-1.3345942943548388e-06,1.2120567048119847e-06,0.0,0.0001044068874981006,6.344334735423326e-05,0.00023413715605139732,0.0,0.00013643809401770436,7.868923702305803e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
