year,co2,ch4,n2o,other_wmghg,o3_tropospheric,o3_stratospheric,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
2158,2.128804876075733,0.1458126181621348,0.29034616129779134,0.09128228787204919,0.04922530800638447,0.007740183079337363,0.013324267287035169,0.019392639135972518,-0.06979134453641127,-0.028409974498991946,-0.0042758194764192054,-0.14651076124024198,0.0,-0.01960334825248087,2.4969404411643734,-0.01960334825248087,2.4773370929118927
2159,2.124838367343914,0.14529588041912941,0.29057826330531256,0.0906134795912397,0.04877627013215611,0.0076695764036892764,0.013277048110177325,0.019181849580146727,-0.06962446067113204,-0.02778555657888826,-0.004381802098839579,-0.14651076124024198,0.0,-0.03921341299992305,2.491928154296663,-0.03921341299992305,2.4527147412967403
2160,2.1209946742812025,0.14477670443454074,0.2908013498022524,0.08995144901404563,0.048326581420023176,0.007598867390346609,0.013229606128304556,0.01897106002432094,-0.0694575768058528,-0.0271680248617141,-0.004487784721259954,-0.14651076124024198,0.0,-0.049854686527996725,2.4870261448659674,-0.049854686527996725,2.437171458337971
2161,2.117288157605956,0.1442556111156875,0.2910242496244378,0.08929578001188128,0.047876408094151925,0.007528082176382569,0.013181988941606979,0.01876027046849515,-0.06929069294057355,-0.026578999523625482,-0.004593767343680331,-0.14651076124024198,0.0,-0.04867219784849367,2.482236326990478,-0.04867219784849367,2.4335641291419843
2162,2.1136772183689856,0.14373260469131027,0.2912381379050084,0.08864633878457732,0.04742574188468338,0.007457219461445263,0.013134196936504305,0.018549480912669364,-0.06912380907529432,-0.025981690958488256,-0.004699749966100703,-0.14651076124024198,0.0,-0.030733404638939237,2.477544927705059,-0.030733404638939237,2.4468115230661196
2163,2.1102037087474943,0.14320714768650286,0.29144592005310355,0.08800321935528937,0.046974428145253926,0.0073862549289541455,0.013086180998870475,0.01833869135684358,-0.06895692521001509,-0.025307647059905698,-0.004805732588521079,-0.14651076124024198,0.0,0.0053770365532772296,2.4730644851736283,0.0053770365532772296,2.4784415217269053
2164,2.1068539876847097,0.1426797631498158,0.29165060664241965,0.08736656066032913,0.04652262648414256,0.007315213675700896,0.013037988924560049,0.01812790180101779,-0.06879004134473586,-0.024669918564730442,-0.004911715210941456,-0.14651076124024198,0.0,0.0404094085907836,2.468672212662046,0.0404094085907836,2.5090816212528297
2165,2.103614139442554,0.14214991157755927,0.2918492314498422,0.0867358076314577,0.04607017481211251,0.007244070214788257,0.01298957141405796,0.017917112245192,-0.06862315747945662,-0.024020688159557487,-0.005017697833361828,-0.14651076124024198,0.0,0.0293441098757135,2.464397714074946,0.0293441098757135,2.4937418239506592
2166,2.1004846140508593,0.14161758290893536,0.29204180182762435,0.08611081313811314,0.045617071475192145,0.007172824286145871,0.012940927548014697,0.017706322689366213,-0.06845627361417737,-0.02338235263509761,-0.005123680455782205,-0.14651076124024198,0.0,0.034708146958323416,2.4602188899789517,0.034708146958323416,2.494927036937275
2167,2.0974793620633467,0.1410833351132758,0.2922283082350304,0.08549216469395707,0.045163482697547476,0.00710150202684691,0.012892108313324309,0.017495533133540426,-0.06828938974889816,-0.022775514544056873,-0.005229663078202581,-0.14651076124024198,0.0,0.0009203124522238797,2.4561304676654694,0.0009203124522238797,2.4570507801176933
