year,co2,ch4,n2o,other_wmghg,o3_trop,o3_strat,h2o_strat,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,aerosol,ch2_other_anthro,total
1829,0.10799045076151743,0.03356460586803382,0.00583835643836575,5.2011081754166105e-08,0.011871238032232084,0.0,1.8759117089761763e-05,0.0,-0.014205807016542213,-0.13375278624191397,0.0008793874277551008,-0.030528823812008457,0.1542100370057959,-1.023371599181786e-05,-0.13579004508847609,-0.023967019493251238,0.25173540910535636
1830,0.10934324971219891,0.033979110750775844,0.005911902653953469,5.266944987763228e-08,0.01202150686808312,0.0,1.8990782125847912e-05,0.0,-0.015598291357095015,-0.14143803503243077,0.0009328314531852686,-0.031139452555011105,0.15474219641949527,-0.01558331559410682,-0.144038592531486,-0.024323373202042337,0.2266068822998915
1831,0.11069569987046272,0.0343933677007148,0.00598544007312807,5.3327818001098444e-08,0.012171775703934162,0.0,1.9222308593332925e-05,0.0,-0.01207287482341912,-0.11864782137742447,0.0009468740332065148,-0.03175008129801375,-3.1165420307273943,-0.06875044674773961,-0.11931587571621245,-0.024836820724623645,-3.0140705887820367
1832,0.11204780143379887,0.0348073771085798,0.0060589687005057425,5.3986186124564616e-08,0.0123220445397852,0.0,1.9453696710593645e-05,0.0,-0.010965601280392031,-0.11211980800582329,0.0009625082277989411,-0.032412095624536306,-2.080607178403824,-0.11904367892009499,-0.11191802435313834,-0.025400809915443648,-2.003654467715378
1833,0.1133995545995337,0.03522113936407191,0.006132488540693657,5.464455424805196e-08,0.01247231337563624,0.0,1.9684946695432364e-05,0.0,-0.012198967405886042,-0.11891851561081933,0.0009812411824563214,-0.033155469352090516,-0.5818016186568388,-0.15021923526047423,-0.11997916481685428,-0.026029800321207348,-0.5486542174583106
1834,0.11475095956482476,0.03563465485586872,0.0062059995982917185,5.530292237151812e-08,0.012622582211487278,0.0,1.991605876507935e-05,0.0,-0.016968380482770017,-0.15138022872637136,0.001012225075811418,-0.03389884307964473,-0.02611537099916803,-0.14512743597842837,-0.15470619076797457,-0.02661417579122286,-0.07731327422692483
1835,0.11610201652666176,0.03604792397162681,0.006279501877890867,5.5961290494984283e-08,0.012772851047338319,0.0,2.0147033136194244e-05,0.0,-0.01442531154899318,-0.1375664907145502,0.0010419141202608771,-0.03464221680719896,-2.309179969751085,-0.07834052269613284,-0.13892157101691222,-0.027211343497263177,-2.213146098636069
1836,0.11745272568186713,0.03646094709798676,0.006352995384074825,5.661965861845046e-08,0.012923119883189355,0.0,2.037787002486883e-05,0.0,-0.01550092914050883,-0.14203783017488575,0.001093514965273554,-0.035385590534753174,-1.482016129901073,-1.7032658762433013e-05,-0.14430356303943187,-0.027709251076645312,-1.3291806598127969
1837,0.11880308722709593,0.0368737246205759,0.0064264801214190944,5.727802674191662e-08,0.013073388719040397,0.0,2.0608569646628607e-05,0.0,-0.01601713197011882,-0.14946361631997312,0.0011147268427862905,-0.0361289642623074,-0.3659617098781525,-5.464724194917617e-05,-0.15120820593812376,-0.028328421865856004,-0.22046704277967177
1838,0.12015310135883722,0.03728625692401293,0.006499956094491319,5.793639486540398e-08,0.013223657554891433,0.0,2.083913221643536e-05,0.0,-0.018324644797842002,-0.16521794293231756,0.0011389659792932362,-0.036872337989861614,0.028196368885303576,-6.477219012231227e-05,-0.16798849154831919,-0.02894697314668894,0.12484029052662995
1839,0.12150276827340896,0.03769854439191045,0.00657342330785097,5.859476298887014e-08,0.013373926390742473,0.0,2.1069557948688524e-05,0.0,-0.017556104720623755,-0.15876155210742376,0.001162572567041781,-0.03761571171741582,0.11236338096570164,-5.3057705230702283e-05,-0.16144918420480506,-0.02955283772202677,0.2324799574682322
1840,0.12285208816696877,0.038110587406880045,0.006646881766049705,5.92531311123363e-08,0.013524195226593512,0.0,2.1299847057228145e-05,0.0,-0.018612690941366326,-0.16288854540630046,0.0011973549083575976,-0.03835908544497004,0.14068320190806446,-3.3849690094858306e-05,-0.16642100539936205,-0.030126627311356156,0.2508389849599279
1841,0.12420106123550358,0.03852238635053465,0.006720331473631415,5.991149923580248e-08,0.01367446406244455,0.0,2.152999975533607e-05,0.0,-0.019560132648987774,-0.17319495906516155,0.0012246762359334853,-0.03913671837685745,0.15019828408093142,-5.772327218958412e-06,-0.17628652577135429,-0.030767395312632943,0.2281404105813267
1842,0.12554968767483593,0.03893394160349307,0.006793772435131875,6.056986735926864e-08,0.01382473289829559,0.0,2.176001625573854e-05,0.0,-0.01910736842982555,-0.1653924897954693,0.0012281026919459318,-0.03995089021214713,0.15339460137093297,-0.056286471818068944,-0.16897116125483114,-0.03149768460667565,0.20352918541340873
1843,0.12689796768061917,0.03934525354538326,0.006867204655079137,6.122823548275599e-08,0.01397500173414663,0.0,2.1989896770608044e-05,0.0,-0.016433613710391374,-0.14618283883938607,0.0012610631290480203,-0.0407650620474368,0.15446828587021427,-0.11701320681375764,-0.1489160702297901,-0.03214128205323963,0.18399557361894153
1844,0.1282459014483429,0.03975632255484578,0.006940628137993888,6.188660360622216e-08,0.014125270569997668,0.0,2.2219641511565178e-05,0.0,-0.015922269889512872,-0.14644356238122716,0.0012987322363772079,-0.04157923388272648,0.15482894292615274,-0.15412398931112298,-0.1479028651366824,-0.0327742513806579,0.1594050659423868
1845,0.12959348917333396,0.04016714900953787,0.007014042888388094,6.254497172968831e-08,0.014275539405848707,0.0,2.2449250689680994e-05,0.0,-0.019886406070028385,-0.16917824479926913,0.0013494059898907554,-0.04239340571801615,0.1549500981908329,-0.15662303190353813,-0.1729518796349898,-0.03338027794553275,0.13934371325047593
1846,0.13094073105074736,0.04057773328613643,0.007087448910766412,6.320333985315449e-08,0.014425808241699747,0.0,2.267872451547863e-05,0.0,-0.018014756013779592,-0.16041050132005216,0.0013879881175647272,-0.04320757755330583,0.0033842115261681926,-0.13185127220622272,-0.16296062720279336,-0.03403376554543824,-0.02505953112433014
1847,0.1322876272755769,0.040988075760342225,0.007160846209626551,6.386170797662065e-08,0.014576077077550785,0.0,2.2908063198935663e-05,0.0,-0.0210059491844732,-0.18071375417349206,0.0014485113422582833,-0.04402174938859551,0.050251873584815705,-0.10714198857371769,-0.1843314035116874,-0.03458421361963962,0.03639628499104513
1848,0.13363417804264918,0.0413981768068827,0.007234234789456879,6.452007610010801e-08,0.014726345913401826,0.0,2.3137266949485682e-05,0.0,-0.02553051762719011,-0.20963442193268728,0.0014585715325076333,-0.04483592122388518,0.11737445853853912,-0.0823702288764023,-0.21505161718893714,-0.03530283727167651,0.11024153183892343
1849,0.13498038354662975,0.04180803679951623,0.007307614654739562,6.517844422357419e-08,0.014876614749252863,0.0,2.3366335976020682e-05,0.0,-0.024205001008812104,-0.19899755959879645,0.001489653885652233,-0.04573507550337338,0.14225745190226657,-0.057598469179086904,-0.2043613199467793,-0.036030003666990856,0.16955424970898048
1850,0.13632624398201335,0.042217656111035125,0.007380985809948171,6.583681234704033e-08,0.015026883585103904,0.0,2.35952704868927e-05,0.0,-0.02574375691271304,-0.20784916590040284,0.0015440546327234606,-0.0467887019574247,0.15076986747582521,-0.032920423578987085,-0.21409090654893187,-0.03682986428742937,0.18687683950105402
1851,0.13855507908540438,0.04284022133246779,0.007727366204878797,6.807274409809489e-08,0.01542633631430983,0.00010954121089617409,2.394321957143689e-05,0.0,-0.022027703819187977,-0.18321807034088736,0.0015651542973033168,-0.04784232841147604,0.15341073607704325,-0.04385373492080346,-0.18723048297415879,-0.0375141388911779,0.21340925944561515
1852,0.14071580710972764,0.04320522532618427,0.007955867292760974,7.059712768424239e-08,0.01582578904351576,0.00021908242179234817,2.4147218768784214e-05,0.0,-0.020325068134648953,-0.1712598779905651,0.0016015558410695956,-0.04889595486552737,0.14868903652681692,-0.04547811260587332,-0.17429115873119105,-0.03815181575832433,0.22130495824645707
1853,0.1426403908064674,0.04381073321653444,0.008248947712862588,7.313230804532227e-08,0.01622524177272169,0.0003286236326885223,2.4485634582707752e-05,0.0,-0.021915528439049904,-0.18139792885822975,0.001641929749526449,-0.04994958131957869,0.013467050522144603,-0.0657515956368414,-0.1851980640006167,-0.03878139124472727,0.030475349352780637
1854,0.14426193773097995,0.04445831217392406,0.008550764824401199,7.567433471939633e-08,0.01662469450192762,0.00043816484358469635,2.484756373910244e-05,0.0,-0.028073416150287914,-0.21896756037053924,0.0017333452318993765,-0.05100320777363003,-0.01995211480777392,-0.09349096841264982,-0.22622606009171856,-0.03926127771173324,-0.057161206638979035
1855,0.14554713587726356,0.04523802190659557,0.008875959361293585,7.822733533904588e-08,0.017024147231133546,0.0005477060544808705,2.5283340230228825e-05,0.0,-0.025243285591292162,-0.20232223695725451,0.0017592631267916825,-0.052056834227681356,0.09362320594542588,-0.11057817213828858,-0.2072787872370267,-0.03991183271414538,0.09110461032862234
1856,0.147050253979729,0.04595058327613984,0.009204029318275157,8.079266887919709e-08,0.017423599960339473,0.0006572472653770446,2.5681587783543677e-05,0.0,-0.025927272970106725,-0.20178533750265382,0.001804410288076809,-0.05311046068173268,0.10122026625323886,-0.11535759109628259,-0.20757747229444262,-0.04052103670915872,0.10118422665224316
