,q4x,lamg,t4x,cdeep,cmix,gamma_2l,eff,kappa,tau1,tau2,a1,a2
BCC-ESM1,6.4882407320336775,-0.8921943750288512,7.272227794317214,97.66258452984253,8.695825523822018,0.5299325142639777,1.36848857714097,0.7252065924258476,5.305894523553051,338.5325017545307,0.5371317753780102,0.4628682246219915
FGOALS-f3-L,9.840465121129185,-1.5014789590624646,6.5538481653155625,79.34939994253288,8.988944332183726,0.5912672112886826,1.6239606910460092,0.9601947090372158,3.612576957703477,222.398668995019,0.5968829575149546,0.40311704248504854
MPI-ESM1-2-HR,8.183147084280971,-1.2712673120306737,6.436999525466645,92.63374598625425,8.413201455919774,0.637576885211629,1.3960038584142849,0.8900597917911958,3.849464648990951,249.78176808406658,0.5751210702567996,0.4248789297431976
HadGEM3-GC31-LL,7.370973410797357,-0.6243954167085388,11.804976804044749,76.42304288432346,7.962855233077764,0.5162064963094688,1.1869479541956667,0.612710244737037,6.298087504957295,299.77905296979355,0.48299329370206817,0.5170067062979328
GISS-E2-1-G,8.292051900777901,-1.4998866713607533,5.5284522885021214,140.88530335935357,7.536209375177306,0.8384504988670859,1.105270620707288,0.9267147033151593,3.0836486118284245,273.7901946362848,0.6093199800266749,0.3906800199733271
MIROC6,7.884621878926497,-1.423914128791142,5.537287480679811,205.67930808205358,9.166116771953874,0.6198239665199777,1.262313201187132,0.7824119753503389,4.13595896705811,516.4729762227357,0.6396162403553572,0.3603837596446446
CAMS-CSM1-0,9.076223122848464,-1.9175558727408721,4.733224857680661,56.972380418485336,9.752138356983648,0.47865874303080286,1.283455641760749,0.6143372642209926,3.820968322170594,158.4224624251587,0.7451679655676661,0.2548320344323355
CanESM5,7.467505629274833,-0.6461368533527884,11.557157884627525,80.72320438077921,8.232829676559428,0.5251952983117915,1.0647785063254946,0.5592166652656019,6.689019250225241,292.77887405788977,0.5138675364460077,0.4861324635539907
MRI-ESM2-0,8.295756724669461,-1.2000573477920748,6.912800242356709,98.19686123837583,8.478459387758491,0.8559094919985023,1.4766255506175745,1.263857824901097,3.3881644649558544,239.2325249821557,0.4720906843005695,0.5279093156994312
HadGEM3-GC31-MM,7.103401564862109,-0.6528308539055594,10.880921945349268,71.4228512958561,8.242753153132725,0.5939743648820921,0.9979139743775425,0.5927353191378651,6.44403143907163,235.60443093923598,0.49660259198647005,0.5033974080135305
