year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,nonco2_wmghg,aerosol,chapter2_other_anthro,total_anthropogenic,total_natural,total
1933,0.554251951945327,0.20902266748123893,0.05820727498195552,0.0011770285558533997,0.12630002061479345,0.019100362682413868,0.0006893232177594298,-0.09141988297658797,-0.3836422363348744,0.025780982016162628,-0.12907112045648444,0.15050761594998754,-0.02273705734304785,0.2684069710190478,-0.47506211931146236,-0.08350045254014851,0.3903963717275574,0.1277705586069397,0.5181669303344971
1934,0.5607761546169318,0.2117160094712288,0.05854881807338018,0.00132285998837896,0.13087804324568725,0.019346478615467864,0.0008094336800757159,-0.10244493143536378,-0.4241273499155028,0.026934669494668897,-0.1303381019687641,0.1882549314319092,-0.015030367889922853,0.2715876875329879,-0.5265722813508666,-0.08324752017855164,0.3534220838661888,0.17322456354198634,0.5266466474081751
1935,0.5683474252920797,0.2144424320185339,0.05897475381489516,0.0015025881736903815,0.1330477056099436,0.019595617429485308,0.0009729248307246169,-0.11199459164592086,-0.44357394558500485,0.027676847674956342,-0.13160508348104374,0.1879072453712289,0.011584231719452146,0.2749197740071194,-0.5555685372309257,-0.08335969354587748,0.3373866741323396,0.19949147709068105,0.5368781512230206
1936,0.5820266674296003,0.21687377552202353,0.05954142883523584,0.001736552738300082,0.13788855730214095,0.01981779210212626,0.001172341742462066,-0.12095811501752668,-0.4781636605185163,0.02905017844850238,-0.13287206499332338,0.18755542984009724,0.06924399734445214,0.27815175709555945,-0.599121775536043,-0.08283175270023267,0.31611345359102505,0.2567994271845494,0.5729128807755745
1937,0.5950878219865003,0.219165020881366,0.060264146977736924,0.0019904051550392343,0.1401551053705195,0.020027164692597896,0.001434260469190111,-0.13180653089314653,-0.4958786170566306,0.030011139337439128,-0.13413904650560304,0.18719950496933052,0.07253572097726464,0.28141957301414217,-0.6276851479497771,-0.08266648200637591,0.30631087041500893,0.25973522594659515,0.5660460963616041
1938,0.6041787737548839,0.22135888834646486,0.06111521241500129,0.0022443491820784782,0.1384358764086357,0.0202276389510383,0.0015091459241294647,-0.12121846799080627,-0.45972944467000376,0.028734667135852664,-0.1354060280178827,0.18683945588645487,0.062098928985077136,0.28471844994354467,-0.58094791266081,-0.08493457600686227,0.3614506114393919,0.248938384871532,0.6103889963109239
1939,0.6137352617993261,0.22454941841944764,0.06180597920429753,0.002512179040207208,0.14324408574089603,0.020519187625052754,0.0017143275284358596,-0.13151116160131276,-0.4947100201683021,0.02972355351014493,-0.13667300953016234,0.1864752991910371,0.05919722000070215,0.2888675766639524,-0.6262211817696148,-0.0847159408665288,0.3349098015680311,0.24567251919173927,0.5805823207597703
1940,0.6223733586481673,0.2261731342033806,0.06262991650461448,0.002820858205254524,0.1454393134006405,0.020667561773847227,0.001948714309353889,-0.14720482663910306,-0.5215543861613288,0.03107479898894171,-0.13770644174388988,0.18610702356553813,0.039774490508514636,0.2916239089132496,-0.6687592128004318,-0.08401536667174705,0.30666200148987854,0.22588151407405277,0.5325435155639313
1941,0.6300794426170467,0.22774814757444106,0.06349968906236339,0.003185949146885155,0.1472535454145909,0.02081148552613408,0.002147978041110939,-0.15155972134955265,-0.5352058991733831,0.03205519201996778,-0.13837009259599867,0.1857346477436322,0.024064700469452145,0.29443378578368956,-0.6867656205229358,-0.08335543700878587,0.3016457162836055,0.20979934821308432,0.5114450644966898
1942,0.636132543341248,0.23024467456348413,0.06446795669164794,0.0036449442631442635,0.14917304308560342,0.021039616625558675,0.002174980374635689,-0.15525931092703807,-0.5529582352617186,0.03277477823847005,-0.13903374344810746,0.18535812342766345,0.0055936067194521455,0.29835757551827635,-0.7082175461887567,-0.08304436820944304,0.292401247546928,0.19095173014711558,0.48335297769404356
1943,0.6396521049874296,0.23248516842588413,0.06673837653121106,0.0041962422028259,0.15190019243182507,0.021244351575481765,0.0024382958602131416,-0.15609560272184883,-0.5555244943704652,0.03331859286184983,-0.13969739430021622,0.184977504073129,-0.013064694061797852,0.3034197871599211,-0.7116200970923141,-0.08269615400267148,0.30065583348419006,0.17191281001133113,0.4725686434955212
1944,0.6397305186800709,0.23429671666146895,0.06751544821114656,0.004850982931451654,0.15408376826158782,0.02140988973808063,0.0029668651667450674,-0.15185912501093057,-0.548341056158176,0.033161211784148534,-0.140361045152325,0.18459276475203934,-0.007869698944610353,0.30666314780406717,-0.7002001811691065,-0.08282307846335077,0.31745417511326873,0.176723065807429,0.4941772409206977
1945,0.6389082605532044,0.23582359947901543,0.06832168974724782,0.005463773257188796,0.15259851598327834,0.021549415350016,0.0030065774644435807,-0.13139431230200113,-0.48880593940835865,0.02968069209518805,-0.14102469600443376,0.18420394208690455,0.02751242996163964,0.30960906248345205,-0.6202002517103598,-0.08678801109478614,0.3941275762147891,0.21171637204854418,0.6058439482633333
1946,0.6386689388225478,0.23799540599781574,0.069029398271746,0.006298047639687217,0.15305558961425125,0.021747873692764114,0.003178717687216524,-0.12873865173012006,-0.47720039881197773,0.03027258322508394,-0.14168834685654255,0.1838109525700516,0.044563870391327136,0.31332285190924897,-0.6059390505420978,-0.08648917225147798,0.41261915755247225,0.22837482296137873,0.6409939805138509
1947,0.640037505425014,0.24098469490351027,0.06932429355350075,0.007172866952603539,0.15748436853471784,0.022021033072793583,0.003506801210145765,-0.14966426867005747,-0.5102595926112314,0.029963199229417543,-0.1423519977086513,0.18341387950952984,0.09005517898507713,0.3174818554096146,-0.6599238612812889,-0.08686096419629442,0.3682189038917633,0.27346905849460695,0.6416879623863703
