# Name,CASRN,Acronym,Formula,Lifetime,Radiative_efficiency,AGWP20,GWP20,AGWP100,GWP100,AGWP500,GWP500,AGTP50,GTP50,AGTP100,GTP100,CGTP50,CGTP100
(E)-1-Chloro-3:3:3-trifluoropr,          102687-65-0,       HCFO-1233zd(E),                 (E)-CF3CH=CHCl, 0.116, 0.065, 3.40371e-13, 13.986, 3.47300e-13, 3.882, 3.47334e-13, 1.107, 3.64115e-16, 0.851, 2.76050e-16, 0.700, 398.450, 471.482
(Z)-1-Chloro-3:3:3-trifluoropr,           99728-16-2,       HCFO-1233zd(Z),                 (Z)-CF3CH=CHCl, 0.036, 0.025, 3.98099e-14, 1.636, 4.06158e-14, 0.454, 4.06217e-14, 0.129, 4.25441e-17, 0.099, 3.22765e-17, 0.082, 46.614, 55.155
(E/Z)-1-chloro-2-fluoro-ethene,             460-16-2,                     ,                 (E/Z)-CHCl=CHF, 0.005, 0.001, 3.20132e-16, 0.013, 3.26584e-16, 0.004, 3.26661e-16, 0.001, 3.41866e-19, 0.001, 2.59548e-19, 0.001, 0.375, 0.444
              Trifluoromethane,              75-46-7,               HFC-23,                           CHF3, 228.000, 0.191, 3.01075e-10, 12371.470, 1.30537e-09, 14590.789, 3.30138e-09, 10520.622, 6.59832e-12, 15427.321, 5.95297e-12, 15086.196,   nan,   nan
               Difluoromethane,              75-10-5,               HFC-32,                          CH2F2, 5.400, 0.111, 6.55443e-11, 2693.278, 6.89683e-11, 770.896, 6.89974e-11, 219.876, 7.75234e-14, 181.255, 5.60638e-14, 142.079, 78175.336, 92888.060
                 Fluoromethane,             593-53-3,               HFC-41,                           CH3F, 2.800, 0.025, 1.18120e-11, 485.369, 1.20970e-11, 135.214, 1.20999e-11, 38.559, 1.29964e-14, 30.387, 9.72142e-15, 24.636, 13796.980, 16356.299
   1:1:1:2:2-Pentafluoroethane,             354-33-6,              HFC-125,                        CHF2CF3, 30.000, 0.234, 1.64077e-10, 6742.083, 3.34992e-10, 3744.382, 3.48784e-10, 1111.483, 1.40978e-12, 3296.159, 5.11527e-13, 1296.327,   nan,   nan
     1:1:2:2-Tetrafluoroethane,             359-35-3,              HFC-134,                       CHF2CHF2, 10.000, 0.194, 9.49670e-11, 3902.284, 1.13047e-10, 1263.587, 1.13146e-10, 360.567, 1.79543e-13, 419.783, 9.43878e-14, 239.200, 125587.445, 151170.157
     1:1:1:2-Tetrafluoroethane,             811-97-2,             HFC-134a,                        CH2FCF3, 14.000, 0.167, 1.00839e-10, 4143.557, 1.36542e-10, 1526.209, 1.36833e-10, 436.050, 3.13703e-13, 733.460, 1.20693e-13, 305.863, 146670.402, 181408.221
         1:1:2-Trifluoroethane,             430-66-0,              HFC-143,                       CH2FCHF2, 3.600, 0.128, 3.16860e-11, 1302.009, 3.25823e-11, 364.189, 3.25918e-11, 103.862, 3.53117e-14, 82.561, 2.62739e-14, 66.584, 37094.181, 44001.868
         1:1:1-Trifluoroethane,             420-46-2,             HFC-143a,                         CH3CF3, 51.000, 0.168, 1.90687e-10, 7835.523, 5.19571e-10, 5807.522, 6.08701e-10, 1939.771, 2.52674e-12, 5907.691, 1.28221e-12, 3249.414,   nan,   nan
            1:2-Difluoroethane,             624-72-6,              HFC-152,                       CH2FCH2F, 0.471, 0.045, 1.88801e-12, 77.580, 1.92711e-12, 21.540, 1.92730e-12, 6.142, 2.02666e-15, 4.738, 1.53387e-15, 3.887, 2209.117, 2614.641
            1:1-Difluoroethane,              75-37-6,             HFC-152a,                        CH3CHF2, 1.600, 0.102, 1.43815e-11, 590.949, 1.46962e-11, 164.268, 1.46986e-11, 46.841, 1.56100e-14, 36.497, 1.17511e-14, 29.780, 16805.799, 19906.096
                  Fluoroethane,             353-36-6,              HFC-161,                        CH3CH2F, 0.219, 0.016, 4.24274e-13, 17.434, 4.32955e-13, 4.839, 4.32994e-13, 1.380, 4.54334e-16, 1.062, 3.44265e-16, 0.872, 496.590, 587.651
1:1:1:2:2:3:3-Heptafluoropropa,            2252-84-8,            HFC-227ca,                     CF3CF2CHF2, 30.000, 0.264, 1.30644e-10, 5368.285, 2.66732e-10, 2981.410, 2.77714e-10, 885.002, 1.12252e-12, 2624.518, 4.07296e-13, 1032.182,   nan,   nan
