# Name,CASRN,Acronym,Formula,Lifetime,Radiative_efficiency,AGWP20,GWP20,AGWP100,GWP100,AGWP500,GWP500,AGTP50,GTP50,AGTP100,GTP100,CGTP50,CGTP100
 2-Bromo-1:1:1-trifluoroethane,             421-06-7,           Halon-2301,                       CH2BrCF3, 3.200, 0.135, 1.54616e-11, 635.331, 1.58604e-11, 177.280, 1.58646e-11, 50.556, 1.71107e-14, 40.006, 1.27676e-14, 32.356, 18073.076, 21432.029
2-Bromo-2-chloro-1:1:1-trifluo,             151-67-7, Halon-2311 (Halothan,                      CHBrClCF3, 1.000, 0.133, 3.94314e-12, 162.027, 4.02688e-12, 45.011, 4.02739e-12, 12.834, 4.25438e-15, 9.947, 3.21201e-15, 8.140, 4610.901, 5459.256
2-Bromo-1:1:1:2-tetrafluoroeth,             124-72-1,           Halon-2401,                       CHBrFCF3, 2.900, 0.189, 1.75934e-11, 722.930, 1.80240e-11, 201.464, 1.80284e-11, 57.452, 1.93838e-14, 45.321, 1.44907e-14, 36.723, 20552.328, 24366.562
1:2-Dibromo-1:1:2:2-tetrafluor,             124-73-2,           Halon-2402,                     CBrF2CBrF2, 28.000, 0.312, 9.89649e-11, 4066.565, 1.94141e-10, 2170.019, 2.00497e-10, 638.930, 7.90887e-13, 1849.147, 2.76957e-13, 701.873,   nan,   nan
               Tribromomethane,              75-25-2,                     ,                          CHBr3, 0.156, 0.006, 2.19273e-14, 0.901, 2.23746e-14, 0.250, 2.23767e-14, 0.071, 2.34664e-17, 0.055, 1.77869e-17, 0.045, 25.667, 30.373
            Bromochloromethane,              74-97-5,           Halon-1011,                        CH2BrCl, 0.452, 0.020, 4.15304e-13, 17.065, 4.23896e-13, 4.738, 4.23938e-13, 1.351, 4.45720e-16, 1.042, 3.37372e-16, 0.855, 485.948, 575.146
                   Bromoethane,              74-96-4,                     ,                       CH3CH2Br, 0.137, 0.006, 4.26923e-14, 1.754, 4.35624e-14, 0.487, 4.35664e-14, 0.139, 4.56801e-17, 0.107, 3.46279e-17, 0.088, 49.975, 59.136
             1:2-Dibromoethane,             106-93-4,                  EDB,                     CH2BrCH2Br, 0.244, 0.012, 8.94214e-14, 3.674, 9.12533e-14, 1.020, 9.12615e-14, 0.291, 9.57796e-17, 0.224, 7.25671e-17, 0.184, 104.660, 123.853
                1-Bromopropane,             106-94-5,                     ,                    CH3CH2CH2Br, 0.041, 0.002, 4.56976e-15, 0.188, 4.66233e-15, 0.052, 4.66297e-15, 0.015, 4.88408e-18, 0.011, 3.70506e-18, 0.009, 5.351, 6.331
                2-Bromopropane,              75-26-3,                     ,                     CH3CHBrCH3, 0.055, 0.004, 1.10146e-14, 0.453, 1.12380e-14, 0.126, 1.12394e-14, 0.036, 1.17747e-17, 0.028, 8.93083e-18, 0.023, 12.896, 15.259
          Nitrogen trifluoride,            7783-54-2,                     ,                            NF3, 569.000, 0.204, 3.25966e-10, 13394.278, 1.55882e-09, 17423.726, 5.71604e-09, 18215.504, 7.80538e-12, 18249.512, 7.88656e-12, 19986.344,   nan,   nan
  Pentadecafluorotriethylamine,             359-70-6,                     ,                       N(C2F5)3, 1000.000, 0.610, 1.87486e-10, 7703.997, 9.23206e-10, 10319.174, 3.85795e-09, 12294.272, 4.60581e-12, 10768.701, 4.81070e-12, 12191.412,   nan,   nan
       Perfluorotripropylamine,             338-83-0,                 PTPA,                  N(CF2CF2CF3)3, 1000.000, 0.750, 1.64148e-10, 6745.006, 8.08286e-10, 9034.646, 3.37771e-09, 10763.884, 4.03248e-12, 9428.216, 4.21186e-12, 10673.828,   nan,   nan
  Heptacosafluorotributylamine,             311-89-7,                PFTBA,               N(CF2CF2CF2CF3)3, 1000.000, 0.907, 1.54205e-10, 6336.418, 7.59323e-10, 8487.361, 3.17310e-09, 10111.848, 3.78821e-12, 8857.089, 3.95673e-12, 10027.247,   nan,   nan
       Perfluorotripentylamine,             338-84-1,                     ,            N(CF2CF2CF2CF2CF3)3, 1000.000, 0.950, 1.31945e-10, 5421.731, 6.49711e-10, 7262.176, 2.71505e-09, 8652.162, 3.24137e-12, 7578.533, 3.38556e-12, 8579.774,   nan,   nan
   Heptafluoroisobutyronitrile,           42532-60-5,                     ,                     (CF3)2CFCN, 34.500, 0.248, 1.11342e-10, 4575.141, 2.46276e-10, 2752.757, 2.61869e-10, 834.507, 1.09445e-12, 2558.893, 4.31369e-13, 1093.188,   nan,   nan
           Sulfur hexafluoride,            2551-62-4,                     ,                            SF6, 3200.000, 0.567, 4.45399e-10, 18301.868, 2.25311e-09, 25184.245, 1.07050e-08, 34114.138, 1.11992e-11, 26184.396, 1.20572e-11, 30555.821,   nan,   nan
(Trifluoromethyl)sulfur pentaf,             373-80-8,                     ,                         SF5CF3, 800.000, 0.585, 3.39303e-10, 13942.281, 1.65463e-09, 18494.681, 6.61439e-09, 21078.330, 8.26521e-12, 19324.622, 8.53866e-12, 21638.910,   nan,   nan
             Sulfuryl fluoride,            2699-79-8,                     ,                          SO2F2, 36.000, 0.211, 1.82813e-10, 7511.957, 4.14181e-10, 4629.520, 4.43821e-10, 1414.342, 1.86630e-12, 4363.535, 7.55741e-13, 1915.222,   nan,   nan
            Tetrafluoromethane,              75-73-0,               PFC-14,                            CF4, 50000.000, 0.099, 1.29009e-10, 5301.093, 6.60210e-10, 7379.523, 3.32232e-09, 10587.355, 3.27609e-12, 7659.720, 3.57307e-12, 9054.964,   nan,   nan
              Hexafluoroethane,              76-16-4,              PFC-116,                           C2F6, 10000.000, 0.261, 2.17648e-10, 8943.367, 1.11030e-09, 12410.390, 5.49921e-09, 17524.522, 5.51207e-12, 12887.603, 5.99047e-12, 15181.228,   nan,   nan
             Octafluoropropane,              76-19-7,              PFC-218,                           C3F8, 2600.000, 0.270, 1.64765e-10, 6770.372, 8.31121e-10, 9289.891, 3.89432e-09, 12410.160, 4.13278e-12, 9662.727, 4.43528e-12, 11240.018,   nan,   nan
         Hexafluorocyclobutene,             697-11-0,                     ,            cyc (-CF=CFCF2CF2-), 1.020, 0.300, 1.10281e-11, 453.157, 1.12626e-11, 125.888, 1.12640e-11, 35.896, 1.19010e-14, 27.825, 8.98425e-15, 22.768, 12895.460, 15268.289
         Octafluorocyclobutane,             115-25-3,            PFC-C-318,           cyc (-CF2CF2CF2CF2-), 3200.000, 0.314, 1.80202e-10, 7404.658, 9.11575e-10, 10189.164, 4.33110e-09, 13802.063, 4.53101e-12, 10593.809, 4.87818e-12, 12362.422,   nan,   nan
              Decafluorobutane,             355-25-9,            PFC-31-10,                        n-C4F10, 2600.000, 0.369, 1.77753e-10, 7304.026, 8.96632e-10, 10022.138, 4.20127e-09, 13388.353, 4.45854e-12, 10424.362, 4.78488e-12, 12125.978,   nan,   nan
        Octafluorocyclopentene,             559-40-0,                     ,         cyc (-CF2CF2CFCF2CF2-), 1.100, 0.246, 6.83895e-12, 281.019, 6.98490e-12, 78.074, 6.98583e-12, 22.262, 7.38602e-15, 17.269, 5.57372e-15, 14.125, 7996.202, 9468.059
           Dodecafluoropentane,             678-26-2,            PFC-41-12,                        n-C5F12, 4100.000, 0.408, 1.62599e-10, 6681.361, 8.24763e-10, 9218.819, 3.97119e-09, 12655.129, 4.09792e-12, 9581.212, 4.42531e-12, 11214.740,   nan,   nan
         Tetradecafluorohexane,             355-42-0,            PFC-51-14,                        n-C6F14, 3100.000, 0.449, 1.52458e-10, 6264.637, 7.70922e-10, 8617.010, 3.65569e-09, 11649.713, 3.83211e-12, 8959.728, 4.12389e-12, 10450.877,   nan,   nan
         Hexadecafluoroheptane,             335-57-9,            PFC-61-16,                        n-C7F16, 3000.000, 0.503, 1.48843e-10, 6116.100, 7.52324e-10, 8409.129, 3.56009e-09, 11345.074, 3.73989e-12, 8744.107, 4.02273e-12, 10194.524,   nan,   nan
          Octadecafluorooctane,             307-34-6,            PFC-71-18,                        n-C8F18, 3000.000, 0.558, 1.46200e-10, 6007.484, 7.38963e-10, 8259.791, 3.49687e-09, 11143.597, 3.67347e-12, 8588.821, 3.95129e-12, 10013.480,   nan,   nan
      Perfluorodecalin (mixed),             306-94-5,            PFC-91-18,                         C10F18, 2000.000, 0.537, 1.33299e-10, 5477.376, 6.69347e-10, 7481.656, 3.06796e-09, 9776.782, 3.33048e-12, 7786.891, 3.55609e-12, 9011.946,   nan,   nan
        Perfluorodecalin (cis),           60433-11-6,                     ,                       Z-C10F18, 2000.000, 0.560, 1.38989e-10, 5711.180, 6.97919e-10, 7801.013, 3.19892e-09, 10194.108, 3.47264e-12, 8119.278, 3.70788e-12, 9396.625,   nan,   nan
      Perfluorodecalin (trans),           60433-12-7,                     ,                       E-C10F18, 2000.000, 0.512, 1.26937e-10, 5215.952, 6.37401e-10, 7124.571, 2.92153e-09, 9310.156, 3.17152e-12, 7415.238, 3.38637e-12, 8581.824,   nan,   nan
               Perfluoroethene,             116-14-3,             PFC-1114,                        CF2=CF2, 0.003, 0.002, 3.46996e-16, 0.014, 3.53988e-16, 0.004, 3.54073e-16, 0.001, 3.70538e-19, 0.001, 2.81329e-19, 0.001, 0.406, 0.481
              Perfluoropropene,             116-15-4,             PFC-1216,                      CF3CF=CF2, 0.015, 0.013, 7.88095e-15, 0.324, 8.04006e-15, 0.090, 8.04165e-15, 0.026, 8.41837e-18, 0.020, 6.38947e-18, 0.016, 9.230, 10.921
      Hexafluorobuta-1:3-diene,             685-63-2,                     ,                   CF2=CFCF=CF2, 0.003, 0.003, 3.47239e-16, 0.014, 3.54235e-16, 0.004, 3.54321e-16, 0.001, 3.70794e-19, 0.001, 2.81525e-19, 0.001, 0.407, 0.481
           Octafluoro-1-butene,             357-26-6,                     ,                   CF3CF2CF=CF2, 0.016, 0.019, 8.91086e-15, 0.366, 9.09081e-15, 0.102, 9.09257e-15, 0.029, 9.51885e-18, 0.022, 7.22447e-18, 0.018, 10.436, 12.348
            Octafluoro-2-buene,             360-89-4,                     ,                    CF3CF=CFCF3, 0.085, 0.070, 1.72749e-13, 7.098, 1.76259e-13, 1.970, 1.76277e-13, 0.562, 1.84737e-16, 0.432, 1.40084e-16, 0.355, 202.238, 239.302
(Difluoromethoxy)trifluorometh,            3822-68-2,              HFE-125,                       CHF2OCF3, 135.000, 0.417, 3.28016e-10, 13478.487, 1.27919e-09, 14298.211, 2.40882e-09, 7676.289, 6.49631e-12, 15188.806, 5.16617e-12, 13092.246,   nan,   nan
(Difluoromethoxy)difluorometha,            1691-17-4,              HFE-134,                      CHF2OCHF2, 26.900, 0.449, 3.09527e-10, 12718.749, 5.93258e-10, 6631.163, 6.10168e-10, 1944.444, 2.36715e-12, 5534.568, 8.13873e-13, 2062.540,   nan,   nan
     Trifluoro(methoxy)methane,             421-14-7,             HFE-143a,                        CH3OCF3, 4.900, 0.189, 5.28272e-11, 2170.723, 5.51212e-11, 616.119, 5.51424e-11, 175.724, 6.10822e-14, 142.814, 4.47056e-14, 113.294, 62560.732, 74294.818
1:1:1:2-Tetrafluoro-2-(trifluo,            2356-62-9,            HFE-227ea,                     CF3CHFOCF3, 54.800, 0.459, 2.38410e-10, 9796.501, 6.72584e-10, 7517.837, 8.07460e-10, 2573.161, 3.30162e-12, 7719.416, 1.75109e-12, 4437.667,   nan,   nan
2-Chloro-1-(difluoromethoxy)-1,           13838-16-9, HCFE-235ca2 (enflura,                  CHF2OCF2CHFCl, 4.420, 0.409, 5.64326e-11, 2318.871, 5.84933e-11, 653.811, 5.85138e-11, 186.468, 6.41647e-14, 150.022, 4.73385e-14, 119.967, 66466.023, 78897.037
2-Chloro-2-(difluoromethoxy)-1,           26675-46-7, HCFE-235da2 (isoflur,                   CHF2OCHClCF3, 3.500, 0.426, 4.68924e-11, 1926.855, 4.81855e-11, 538.596, 4.81993e-11, 153.599, 5.21598e-14, 121.953, 3.88394e-14, 98.428, 54870.664, 65083.600
2-(Difluoromethoxy)-1:1:1:2-te,           57041-67-5, HFE-236ea2 (desflura,                    CHF2OCHFCF3, 14.100, 0.464, 1.70793e-10, 7018.057, 2.32004e-10, 2593.237, 2.32511e-10, 740.950, 5.37242e-13, 1256.107, 2.05509e-13, 520.807, 248963.544, 308186.546
1:1:1-Trifluoro-2-(trifluorome,           20193-67-3,            HFE-236fa,                     CF3CH2OCF3, 7.500, 0.371, 8.93543e-11, 3671.653, 9.87179e-11, 1103.423, 9.87763e-11, 314.774, 1.24538e-13, 291.177, 8.10740e-14, 205.460, 111126.140, 132527.602
1:1:1:2:2-Pentafluoro-2-methox,           22410-44-2,           HFE-245cb2,                     CF3CF2OCH3, 5.000, 0.336, 6.39683e-11, 2628.521, 6.68506e-11, 747.225, 6.68768e-11, 213.119, 7.42667e-14, 173.641, 5.42431e-14, 137.464, 75854.019, 90090.543
1:1-Difluoro-2-(trifluorometho,           84011-15-4,           HFE-245fa1,                    CHF2CH2OCF3, 6.700, 0.314, 7.72152e-11, 3172.847, 8.35578e-11, 933.971, 8.36016e-11, 266.416, 9.97630e-14, 233.253, 6.83440e-14, 173.199, 94341.831, 112314.082
2-(Difluoromethoxy)-1:1:1-trif,            1885-48-9,           HFE-245fa2,                    CHF2OCH2CF3, 5.500, 0.360, 7.45411e-11, 3062.966, 7.85808e-11, 878.340, 7.86145e-11, 250.524, 8.86278e-14, 207.218, 6.39072e-14, 161.955, 89046.940, 105818.231
2:2:3:3:3-Pentafluoropropan-1-,             422-05-9,                     ,                    CF3CF2CH2OH, 0.471, 0.164, 3.00499e-12, 123.478, 3.06722e-12, 34.284, 3.06752e-12, 9.775, 3.22566e-15, 7.542, 2.44133e-15, 6.187, 3516.069, 4161.508
1:1:2:2-Tetrafluoro-1-methoxye,             425-88-7,           HFE-254cb1,                    CH3OCF2CHF2, 2.500, 0.260, 2.86560e-11, 1177.501, 2.93231e-11, 327.760, 2.93296e-11, 93.466, 3.14103e-14, 73.439, 2.35349e-14, 59.643, 33466.263, 39665.467
1:1:1-Trifluoro-2-methoxyethan,             460-43-5,            HFE-263mf,                     CF3CH2OCH3, 0.077, 0.046, 1.80778e-13, 7.428, 1.84450e-13, 2.062, 1.84470e-13, 0.588, 1.93305e-16, 0.452, 1.46590e-16, 0.371, 211.643, 250.428
1:1:2:2-Tetrafluoro-1-(trifluo,             690-22-2,            HFE-263m1,                     CF3OCH2CH3, 0.397, 0.126, 2.55851e-12, 105.132, 2.61131e-12, 29.188, 2.61155e-12, 8.322, 2.74445e-15, 6.417, 2.07784e-15, 5.266, 2993.917, 3543.332
    3:3:3-Trifluoropropan-1-ol,            2240-88-2,                     ,                    CF3CH2CH2OH, 0.041, 0.026, 5.43711e-14, 2.234, 5.54724e-14, 0.620, 5.54800e-14, 0.177, 5.81108e-17, 0.136, 4.40829e-17, 0.112, 63.662, 75.327
1:1:1:2:2-Pentafluoro-2-(1:1:2,          134769-21-4,          HFE-329mcc2,                 CHF2CF2OCF2CF3, 25.000, 0.545, 1.83653e-10, 7546.491, 3.37399e-10, 3771.293, 3.44790e-10, 1098.755, 1.29129e-12, 3019.114, 4.31615e-13, 1093.811,   nan,   nan
2-(Difluoromethoxy)-1:1:1:3:3:,           26103-08-2,          HFE-338mmz1,                  (CF3)2CHOCHF2, 22.300, 0.452, 1.58239e-10, 6502.198, 2.72317e-10, 3043.831, 2.76173e-10, 880.089, 9.66623e-13, 2260.030, 3.14447e-13, 796.880,   nan,   nan
1:1:1:2:2-Pentafluoro-2-(2:2:2,          156053-88-2,          HFE-338mcf2,                  CF3CH2OCF2CF3, 7.500, 0.454, 8.41881e-11, 3459.371, 9.30103e-11, 1039.627, 9.30654e-11, 296.575, 1.17337e-13, 274.342, 7.63866e-14, 193.581, 104701.222, 124865.327
1:1:1:3:3:3-Hexafluoro-2-(fluo,           28523-86-6, Sevoflurane (HFE-347,                  (CF3)2CHOCH2F, 1.900, 0.308, 1.70820e-11, 701.916, 1.74620e-11, 195.183, 1.74652e-11, 55.657, 1.85989e-14, 43.486, 1.39800e-14, 35.429, 19955.605, 23641.952
1:1:1:2:2:3:3-Heptafluoro-3-me,             375-03-1, HFE-347mcc3 (HFE-700,                  CH3OCF2CF2CF3, 5.100, 0.339, 4.92339e-11, 2023.069, 5.15359e-11, 576.044, 5.15565e-11, 164.297, 5.74064e-14, 134.220, 4.18357e-14, 106.021, 58461.791, 69441.313
1-(2:2-Difluoroethoxy)-1:1:2:2,          171182-95-9,          HFE-347mcf2,                 CHF2CH2OCF2CF3, 6.700, 0.431, 7.96197e-11, 3271.652, 8.61599e-11, 963.056, 8.62050e-11, 274.713, 1.02870e-13, 240.516, 7.04723e-14, 178.593, 97279.728, 115811.652
1:1:2:2-Tetrafluoro-1-(2:2:2-t,             406-78-0,          HFE-347pcf2,                 CHF2CF2OCH2CF3, 6.100, 0.482, 8.21174e-11, 3374.283, 8.76335e-11, 979.527, 8.76752e-11, 279.398, 1.01297e-13, 236.840, 7.14700e-14, 181.121, 99134.682, 117900.885
1:1:1:2:3:3:3-Heptafluoro-2-me,           22052-84-2,          HFE-347mmy1,                   (CF3)2CFOCH3, 3.700, 0.318, 3.41081e-11, 1401.535, 3.50991e-11, 392.322, 3.51097e-11, 111.885, 3.80866e-14, 89.049, 2.83158e-14, 71.759, 39950.445, 47393.772
1:1:1:2:3:3-Hexafluoro-3-metho,             382-34-3,          HFE-356mec3,                  CH3OCF2CHFCF3, 2.500, 0.288, 2.30832e-11, 948.512, 2.36206e-11, 264.021, 2.36259e-11, 75.289, 2.53019e-14, 59.158, 1.89581e-14, 48.044, 26958.055, 31951.695
Bis(2:2:2-trifluoroethyl)ether,             333-36-8,          HFE-356mff2,                  CF3CH2OCH2CF3, 0.351, 0.190, 2.14225e-12, 88.027, 2.18636e-12, 24.438, 2.18656e-12, 6.968, 2.29692e-15, 5.370, 1.73938e-15, 4.408, 2506.964, 2966.927
1-(2:2-Difluoroethoxy)-1:1:2:2,           50807-77-7,          HFE-356pcf2,                CHF2CH2OCF2CHF2, 6.000, 0.378, 6.98254e-11, 2869.193, 7.43547e-11, 831.103, 7.43894e-11, 237.060, 8.55514e-14, 200.025, 6.06117e-14, 153.604, 84138.341, 100051.027
3-(Difluoromethoxy)-1:1:2:2-te,           35042-99-0,          HFE-356pcf3,                CHF2OCH2CF2CHF2, 3.500, 0.378, 4.21149e-11, 1730.544, 4.32763e-11, 483.723, 4.32887e-11, 137.950, 4.68456e-14, 109.528, 3.48824e-14, 88.400, 49280.349, 58452.774
1:1:2:2:3:3-Hexafluoro-1-metho,          160620-20-2,          HFE-356pcc3,                 CH3OCF2CF2CHF2, 2.500, 0.303, 2.42244e-11, 995.403, 2.47884e-11, 277.073, 2.47938e-11, 79.011, 2.65527e-14, 62.082, 1.98953e-14, 50.419, 28290.770, 33531.280
1:1:1:3:3:3-Hexafluoro-2-metho,           13171-18-1,          HFE-356mmz1,                   (CF3)2CHOCH3, 0.178, 0.125, 7.13036e-13, 29.299, 7.27596e-13, 8.133, 7.27663e-13, 2.319, 7.63249e-16, 1.785, 5.78458e-16, 1.466, 834.620, 987.639
1:1:1:2:2-Pentafluoro-3-methox,             378-16-5,          HFE-365mcf3,                  CF3CF2CH2OCH3, 0.069, 0.058, 1.40497e-13, 5.773, 1.43349e-13, 1.602, 1.43365e-13, 0.457, 1.50218e-16, 0.351, 1.13923e-16, 0.289, 164.488, 194.632
1-Ethoxy-1:1:2:2-tetrafluoroet,             512-51-6,           HFE-374pc2,                 CHF2CF2OCH2CH3, 0.208, 0.132, 1.09612e-12, 45.040, 1.11853e-12, 12.502, 1.11863e-12, 3.565, 1.17365e-15, 2.744, 8.89365e-16, 2.254, 1282.966, 1518.215
     4:4:4-Trifluorobutan-1-ol,             461-18-7,                     ,                 CF3(CH2)2CH2OH, 0.015, 0.006, 4.33432e-15, 0.178, 4.42183e-15, 0.049, 4.42271e-15, 0.014, 4.62986e-18, 0.011, 3.51405e-18, 0.009, 5.076, 6.006
2:2:3:3:4:4:5:5-Octafluorocycl,           16621-87-7,                     ,           cyc (-(CF2)4CH(OH)-), 0.301, 0.156, 1.19558e-12, 49.128, 1.22014e-12, 13.638, 1.22025e-12, 3.889, 1.28130e-15, 2.996, 9.70508e-16, 2.459, 1399.214, 1655.880
1-(Difluoromethoxy)-2-((difluo,          188690-77-9, HFE-43-10pccc124 (H-,           CHF2OCF2OCF2CF2OCHF2, 14.100, 1.030, 2.12174e-10, 8718.435, 2.88216e-10, 3221.542, 2.88845e-10, 920.472, 6.67408e-13, 1560.445, 2.55301e-13, 646.991, 309283.940, 382855.849
1:1:1:2:2:3:3:4:4-Nonafluoro-4,          219484-64-7, HFE-449s1 (HFE-7100),                       C4F9OCH3, 4.800, 0.360, 3.95123e-11, 1623.597, 4.11661e-11, 460.136, 4.11817e-11, 131.235, 4.55101e-14, 106.406, 3.33724e-14, 84.573, 46733.850, 55493.939
                            na,          163702-07-6,           n-HFE-7100,               CF3CF2CF2CF2OCH3, 4.800, 0.425, 4.66885e-11, 1918.477, 4.86428e-11, 543.706, 4.86611e-11, 155.070, 5.37757e-14, 125.731, 3.94335e-14, 99.933, 55221.699, 65572.805
                            na,          163702-08-7,           i-HFE-7100,                (CF3)2CFCF2OCH3, 4.800, 0.341, 3.74831e-11, 1540.217, 3.90520e-11, 436.506, 3.90668e-11, 124.495, 4.31730e-14, 100.941, 3.16585e-14, 80.230, 44333.810, 52644.021
1-Ethoxy-1:1:2:2:3:3:4:4:4-non,                     , HFE-569sf2 (HFE-7200,                      C4F9OC2H5, 0.800, 0.301, 5.32054e-12, 218.626, 5.43245e-12, 60.721, 5.43308e-12, 17.314, 5.72933e-15, 13.396, 4.32964e-15, 10.972, 6223.006, 7366.973
                            na,          163702-06-5,           i-HFE-7200,             (CF3)2CFCF2OCH2CH3, 0.630, 0.216, 3.00730e-12, 123.573, 3.07005e-12, 34.316, 3.07037e-12, 9.784, 3.23306e-15, 7.559, 2.44514e-15, 6.197, 3518.102, 4164.355
3-Methoxyperfluoro(2-methylpen,          132182-92-4,             HFE-7300,       (CF3)2CFCFOC2H5CF2CF2CF3, 5.240, 0.480, 3.45169e-11, 1418.331, 3.62166e-11, 404.812, 3.62314e-11, 115.460, 4.05048e-14, 94.703, 2.94186e-14, 74.553, 41068.804, 48789.176
3-Ethoxyperfluoro(2-methylhexa,          297730-93-9,             HFE-7500,          n-C3F7CFOC2H5CF(CF3)2, 0.300, 0.270, 1.14303e-12, 46.968, 1.16650e-12, 13.039, 1.16661e-12, 3.718, 1.22496e-15, 2.864, 9.27840e-16, 2.351, 1337.710, 1583.092
Bis(difluoromethoxy)difluorome,           78522-47-1,  HFE-236ca12 (HG-10),                  CHF2OCF2OCHF2, 26.500, 0.648, 2.85237e-10, 11720.676, 5.41978e-10, 6057.984, 5.56632e-10, 1773.841, 2.14504e-12, 5015.259, 7.32830e-13, 1857.159,   nan,   nan
1:2-Bis(difluoromethoxy)-1:1:2,          188690-78-0, HFE-338pcc13 (HG-01),               CHF2OCF2CF2OCHF2, 13.400, 0.870, 2.23450e-10, 9181.769, 2.96806e-10, 3317.559, 2.97347e-10, 947.568, 6.49371e-13, 1518.274, 2.59233e-13, 656.957, 320699.645, 394721.245
1:1:1:3:3:3-Hexafluoropropan-2,             920-66-1,                 HFIP,                     (CF3)2CHOH, 1.900, 0.274, 1.80500e-11, 741.691, 1.84516e-11, 206.243, 1.84549e-11, 58.811, 1.96528e-14, 45.950, 1.47722e-14, 37.436, 21086.412, 24981.649
1-(Difluoromethoxy)-2-(2-(difl,          205367-61-9,                HG-02,            CHF2(OCF2CF2)2OCHF2, 26.900, 1.150, 2.67582e-10, 10995.206, 5.12864e-10, 5732.561, 5.27483e-10, 1680.948, 2.04638e-12, 4784.568, 7.03584e-13, 1783.042,   nan,   nan
1:1:3:3:4:4:6:6:7:7:9:9:10:10:,          173350-37-3,                HG-03,            CHF2(OCF2CF2)3OCHF2, 26.900, 1.429, 2.49735e-10, 10261.859, 4.78658e-10, 5350.216, 4.92301e-10, 1568.834, 1.90989e-12, 4465.451, 6.56657e-13, 1664.118,   nan,   nan
 (2:2:2-Trifluoroethoxy)ethene,             406-90-6,            Fluroxene,                  CF3CH2OCH=CH2, 0.010, 0.011, 5.04702e-15, 0.207, 5.14883e-15, 0.058, 5.14994e-15, 0.016, 5.39042e-18, 0.013, 4.09188e-18, 0.010, 5.911, 6.994
2-Ethoxy-3:3:4:4:5-pentafluoro,          920979-28-8,                     ,                     C12H5F19O2, 0.810, 0.489, 4.26747e-12, 175.355, 4.35728e-12, 48.704, 4.35779e-12, 13.887, 4.59580e-15, 10.745, 3.47287e-15, 8.801, 4991.260, 5908.837
      Difluoro(methoxy)methane,             359-15-9,                     ,                       CH3OCHF2, 1.100, 0.153, 1.19393e-11, 490.598, 1.21941e-11, 136.300, 1.21958e-11, 38.865, 1.28944e-14, 30.148, 9.73051e-15, 24.659, 13959.645, 16529.189
1:1:2:2-Tetrafluoro-1:2-dimeth,           73287-23-7,               HG'-01,                 CH3OCF2CF2OCH3, 1.700, 0.289, 1.77004e-11, 727.326, 1.80898e-11, 202.199, 1.80929e-11, 57.657, 1.92321e-14, 44.966, 1.44706e-14, 36.672, 20682.022, 24499.108
1:1:2:2-Tetrafluoro-1-methoxy-,          485399-46-0,               HG'-02,              CH3O(CF2CF2O)2CH3, 1.700, 0.562, 2.00349e-11, 823.252, 2.04756e-11, 228.867, 2.04791e-11, 65.261, 2.17686e-14, 50.896, 1.63791e-14, 41.508, 23409.727, 27730.240
3:3:4:4:6:6:7:7:9:9:10:10-Dode,          485399-48-2,               HG'-03,              CH3O(CF2CF2O)3CH3, 1.700, 0.762, 1.91908e-11, 788.570, 1.96130e-11, 219.226, 1.96164e-11, 62.512, 2.08515e-14, 48.752, 1.56891e-14, 39.760, 22423.542, 26562.044
1:1:1:2:3:3-Hexafluoro-3-(trif,          428454-68-6,           HFE-329me3,                  CF3CFHCF2OCF3, 33.600, 0.489, 1.80268e-10, 7407.382, 3.92793e-10, 4390.454, 4.15795e-10, 1325.031, 1.72955e-12, 4043.813, 6.70564e-13, 1699.363,   nan,   nan
3:3:4:4:5:5:6:6:7:7:7-Undecafl,          185689-57-0,                     ,              CF3(CF2)4CH2CH2OH, 0.047, 0.054, 4.67782e-14, 1.922, 4.77262e-14, 0.533, 4.77324e-14, 0.152, 5.00000e-17, 0.117, 3.79273e-17, 0.096, 54.770, 64.806
3:3:4:4:5:5:6:6:7:7:8:8:9:9:9-,             755-02-2,                     ,              CF3(CF2)6CH2CH2OH, 0.047, 0.060, 3.93474e-14, 1.617, 4.01448e-14, 0.449, 4.01500e-14, 0.128, 4.20574e-17, 0.098, 3.19025e-17, 0.081, 46.070, 54.512
3:3:4:4:5:5:6:6:7:7:8:8:9:9:10,           87017-97-8,                     ,              CF3(CF2)8CH2CH2OH, 0.047, 0.045, 2.39803e-14, 0.985, 2.44663e-14, 0.273, 2.44694e-14, 0.078, 2.56319e-17, 0.060, 1.94430e-17, 0.049, 28.077, 33.222
2-Chloro-1:1:2-trifluoro-1-met,             425-87-6,                     ,                   CH3OCF2CHClF, 1.430, 0.211, 1.18811e-11, 488.207, 1.21389e-11, 135.683, 1.21407e-11, 38.689, 1.28738e-14, 30.100, 9.69950e-15, 24.581, 13886.494, 16446.302
1-(Difluoro(trifluoromethoxy)m,         1309353-34-1, PFPMIE (perfluoropol,           CF3OCFCF3CF2OCF2OCF3, 800.000, 0.640, 1.88587e-10, 7749.225, 9.19655e-10, 10279.483, 3.67633e-09, 11715.494, 4.59387e-12, 10740.770, 4.74585e-12, 12027.069,   nan,   nan
1:1:2-Trifluoro-2-(trifluorome,            1187-93-5,              HFE-216,                     CF3OCF=CF2, 0.004, 0.006, 9.08993e-16, 0.037, 9.27311e-16, 0.010, 9.27532e-16, 0.003, 9.70692e-19, 0.002, 7.36970e-19, 0.002, 1.065, 1.260
