yr	CERES	CESM2	CanESM5	EC-Earth3	ECHAM	GFDL	HadGEM3	IPSL	multimodel
2008.791667	0.577701438	0.509257056	0.240015478	0.150956569	0.616311284	0.118589758	-0.008450005	0.385275266	0.287422201
2008.875	0.557845894	0.607997544	0.220570863	0.323368428	0.596312266	0.055808297	0.002207832	0.327771402	0.304862376
2008.958333	0.64871089	0.638448152	0.252051588	0.256417899	0.52906078	0.155046464	-0.003044723	0.353624977	0.311657877
2009.041667	0.587876114	0.47670884	0.218931581	0.214594335	0.436508316	0.137820921	0.021550234	0.338351163	0.263495056
2009.125	0.490865069	0.351822736	0.191968038	0.104500568	0.44019226	0.207112466	0.032491491	0.293114702	0.231600323
2009.208333	0.433832028	0.358487492	0.142395055	0.099110112	0.396575151	0.144054974	0.018160975	0.298947652	0.208247344
2009.291667	0.341225972	0.400603506	0.204242905	0.123618716	0.310813342	0.165758787	0.014338761	0.249949851	0.209903696
2009.375	0.292650651	0.468388615	0.243056133	0.127284484	0.168814619	0.149971897	0.043947697	0.260922525	0.208912281
2009.458333	0.203213211	0.402458368	0.286020633	0.090187593	0.054898465	0.088265829	0.004606728	0.191913037	0.159764379
2009.541667	0.035376356	0.280082298	0.227284017	0.079441879	-0.031348563	0.184415169	0.026719006	0.269993889	0.148083956
2009.625	-0.066707481	0.34109393	0.195229698	-0.023004329	-0.058562567	0.076955371	0.012366324	0.193452417	0.105361549
2009.708333	-0.216477383	0.435950326	0.114688178	-0.051429245	-0.042690292	-0.040796441	-0.076568438	0.148369337	0.069646204
2009.791667	-0.20072916	0.233612912	0.025630374	-0.146356822	-0.106859677	-0.135785045	-0.099059929	0.081297092	-0.021074442
2009.875	-0.328456962	0.032103788	-0.092365707	-0.33140733	-0.07674438	-0.157409357	-0.099399122	-0.084157003	-0.115625587
2009.958333	-0.510786244	-0.137921471	-0.236940891	-0.484950832	-0.097552324	-0.360415381	-0.154550106	-0.345217003	-0.259649716
2010.041667	-0.554325817	-0.342732367	-0.399272065	-0.607526505	-0.128021674	-0.445386769	-0.242824367	-0.515506296	-0.383038577
2010.125	-0.637763459	-0.49525685	-0.471587043	-0.60599321	-0.220175729	-0.508905903	-0.267457344	-0.677610299	-0.463855197
2010.208333	-0.599419232	-0.615736924	-0.508752796	-0.676753584	-0.322457369	-0.352805709	-0.177717614	-0.776742487	-0.490138069
2010.291667	-0.600732347	-0.839223859	-0.594356025	-0.801440163	-0.440021626	-0.390667231	-0.168733141	-0.924284774	-0.594103831
2010.375	-0.622203947	-1.013095957	-0.661174674	-0.891733374	-0.365038377	-0.502583089	-0.225969474	-0.997341093	-0.665276577
2010.458333	-0.67050365	-0.990488446	-0.816304836	-0.931387879	-0.239111599	-0.464849601	-0.242925118	-1.037305555	-0.674624719
2010.541667	-0.510353087	-0.867095889	-0.704340802	-0.696216825	-0.119053882	-0.461788193	-0.149433423	-1.080146393	-0.582582201
2010.625	-0.473375856	-0.897020381	-0.586831948	-0.659972241	-0.051232034	-0.314473001	-0.085018625	-1.044279112	-0.519832477
2010.708333	-0.369163143	-0.899125428	-0.470141673	-0.590085255	0.09127674	-0.224602478	0.047139121	-0.98918818	-0.43353245
2010.791667	-0.340972847	-0.760026793	-0.257998271	-0.428324928	0.140111694	-0.078012767	0.082908506	-0.866557974	-0.309700076
2010.875	-0.19983711	-0.644582928	-0.172033044	-0.337714042	0.225474863	0.008768638	-0.022992341	-0.693389528	-0.233781197
2010.958333	-0.179079124	-0.434759399	-0.106677458	-0.343353933	0.246066509	0.056637968	0.013026129	-0.607403413	-0.168066228
2011.041667	-0.147060629	-0.151138654	0.025173806	-0.230501779	0.295600763	0.161805302	0.087984433	-0.402481313	-0.030508206
2011.125	-0.09041041	0.030042807	0.099997559	-0.250441674	0.346912285	0.266419535	0.083228636	-0.251346789	0.046401765
2011.208333	-0.124371952	0.168221623	0.140237569	-0.178922381	0.490128612	0.300417816	0.083722098	-0.224019083	0.111398036
2011.291667	0.008210581	0.422618126	0.222548785	-0.124847582	0.667962824	0.357146991	0.028059313	-0.084811081	0.212668197
2011.375	0.119871673	0.509818715	0.262995445	-0.052325751	0.764506341	0.514381506	0.044645568	-0.091286758	0.278962152
2011.458333	0.048280084	0.427230519	0.338214335	-0.046059565	0.667222538	0.424040544	0.067985974	-0.187412361	0.241603141
2011.541667	0.063173765	0.484121583	0.312799378	-0.227354285	0.55376302	0.449549002	-0.024257727	-0.203007946	0.192230432
2011.625	0.244288388	0.421862214	0.321674618	-0.13594528	0.469655797	0.393896154	-0.001739102	-0.121428944	0.192567923
2011.708333	0.231936178	0.569844152	0.306580837	-0.038451044	0.423540628	0.422226713	0.01303722	-0.090120991	0.229522502
2011.791667	0.24759026	0.522254069	0.237853652	-0.110331171	0.479059281	0.362752588	-0.031379934	-0.109500185	0.192958328
2011.875	0.25391319	0.386999487	0.266379326	-0.116411758	0.306331568	0.376895103	0.05377148	-0.170250157	0.157673578
2011.958333	0.317386313	0.294559784	0.255086925	0.066100804	0.319958948	0.437746762	0.037900599	-0.08015154	0.190171755
2012.041667	0.384273401	0.228118715	0.331097511	-0.022984202	0.388815714	0.409593198	0.049877813	-0.10425988	0.182894124
2012.125	0.456439767	0.282537541	0.384973995	0.095151842	0.402111662	0.40544467	0.107866732	-0.067655836	0.230061515
2012.208333	0.516178889	0.413630765	0.349659923	0.180814562	0.384835197	0.453688699	0.092716207	0.008788432	0.269161969
2012.291667	0.477828431	0.518346425	0.274920002	0.311017521	0.300839852	0.473233537	0.157879106	0.024268974	0.294357917
2012.375	0.524774733	0.544291932	0.240897398	0.381843481	0.207474005	0.289964101	0.178376253	0.119245755	0.280298989
2012.458333	0.7162794	0.61484911	0.253876343	0.365121219	0.271713542	0.373930567	0.210472308	0.235028894	0.332141712
2012.541667	0.552523571	0.479822951	0.277860816	0.337985717	0.356540787	0.329323454	0.277159952	0.260644614	0.331334042
2012.625	0.372312529	0.401676051	0.17430778	0.318353867	0.373075754	0.349095593	0.145419114	0.191657876	0.279083719
2012.708333	0.427026425	0.39850132	0.203842924	0.191994956	0.3012827	0.380783672	0.153229378	0.214613313	0.263464038
2012.791667	0.323145679	0.463552816	0.14899706	0.149149972	0.210811032	0.412777136	0.178575233	0.215490932	0.254193454
