# Time,AGWP_Ccycle,AGWP_fossilCO2,AGWP_bioCO2,AGTP_Ccycle,AGTP_fossilCO2,AGTP_bioCO2
10.500, 1.937e-14, 1.205e-14, -2.669e-14, 1.115e-15, 6.439e-16, -8.351e-16
10.600, 1.969e-14, 1.223e-14, -2.683e-14, 1.124e-15, 6.487e-16, -8.294e-16
10.700, 2.001e-14, 1.241e-14, -2.697e-14, 1.133e-15, 6.535e-16, -8.237e-16
10.800, 2.033e-14, 1.259e-14, -2.710e-14, 1.142e-15, 6.582e-16, -8.180e-16
10.900, 2.064e-14, 1.277e-14, -2.723e-14, 1.151e-15, 6.629e-16, -8.124e-16
11.000, 2.096e-14, 1.295e-14, -2.736e-14, 1.160e-15, 6.675e-16, -8.068e-16
11.100, 2.129e-14, 1.313e-14, -2.749e-14, 1.169e-15, 6.720e-16, -8.012e-16
11.200, 2.161e-14, 1.331e-14, -2.762e-14, 1.177e-15, 6.765e-16, -7.957e-16
11.300, 2.193e-14, 1.349e-14, -2.775e-14, 1.185e-15, 6.809e-16, -7.901e-16
11.400, 2.225e-14, 1.368e-14, -2.788e-14, 1.193e-15, 6.853e-16, -7.846e-16
11.500, 2.257e-14, 1.386e-14, -2.801e-14, 1.201e-15, 6.896e-16, -7.792e-16
11.600, 2.290e-14, 1.404e-14, -2.813e-14, 1.209e-15, 6.939e-16, -7.737e-16
11.700, 2.322e-14, 1.423e-14, -2.825e-14, 1.217e-15, 6.981e-16, -7.683e-16
11.800, 2.355e-14, 1.441e-14, -2.838e-14, 1.224e-15, 7.023e-16, -7.630e-16
11.900, 2.387e-14, 1.460e-14, -2.850e-14, 1.232e-15, 7.064e-16, -7.576e-16
12.000, 2.419e-14, 1.478e-14, -2.862e-14, 1.239e-15, 7.105e-16, -7.523e-16
12.100, 2.452e-14, 1.497e-14, -2.874e-14, 1.246e-15, 7.145e-16, -7.471e-16
12.200, 2.485e-14, 1.516e-14, -2.886e-14, 1.253e-15, 7.185e-16, -7.418e-16
12.300, 2.517e-14, 1.535e-14, -2.898e-14, 1.259e-15, 7.224e-16, -7.366e-16
12.400, 2.550e-14, 1.553e-14, -2.910e-14, 1.266e-15, 7.262e-16, -7.315e-16
12.500, 2.582e-14, 1.572e-14, -2.921e-14, 1.272e-15, 7.300e-16, -7.264e-16
12.600, 2.615e-14, 1.591e-14, -2.933e-14, 1.278e-15, 7.338e-16, -7.213e-16
12.700, 2.648e-14, 1.610e-14, -2.945e-14, 1.285e-15, 7.375e-16, -7.162e-16
12.800, 2.680e-14, 1.629e-14, -2.956e-14, 1.290e-15, 7.412e-16, -7.112e-16
12.900, 2.713e-14, 1.648e-14, -2.967e-14, 1.296e-15, 7.448e-16, -7.063e-16
13.000, 2.746e-14, 1.667e-14, -2.979e-14, 1.302e-15, 7.484e-16, -7.014e-16
13.100, 2.779e-14, 1.686e-14, -2.990e-14, 1.308e-15, 7.519e-16, -6.965e-16
13.200, 2.811e-14, 1.705e-14, -3.001e-14, 1.313e-15, 7.554e-16, -6.916e-16
13.300, 2.844e-14, 1.724e-14, -3.012e-14, 1.318e-15, 7.588e-16, -6.868e-16
13.400, 2.877e-14, 1.743e-14, -3.023e-14, 1.323e-15, 7.622e-16, -6.821e-16
13.500, 2.910e-14, 1.762e-14, -3.034e-14, 1.328e-15, 7.655e-16, -6.774e-16
13.600, 2.942e-14, 1.782e-14, -3.044e-14, 1.333e-15, 7.688e-16, -6.727e-16
13.700, 2.975e-14, 1.801e-14, -3.055e-14, 1.338e-15, 7.721e-16, -6.680e-16
13.800, 3.008e-14, 1.820e-14, -3.066e-14, 1.342e-15, 7.753e-16, -6.634e-16
13.900, 3.041e-14, 1.840e-14, -3.076e-14, 1.347e-15, 7.784e-16, -6.589e-16
14.000, 3.073e-14, 1.859e-14, -3.087e-14, 1.351e-15, 7.816e-16, -6.544e-16
14.100, 3.106e-14, 1.878e-14, -3.097e-14, 1.355e-15, 7.846e-16, -6.499e-16
14.200, 3.139e-14, 1.898e-14, -3.108e-14, 1.360e-15, 7.877e-16, -6.455e-16
14.300, 3.171e-14, 1.917e-14, -3.118e-14, 1.364e-15, 7.907e-16, -6.411e-16
14.400, 3.204e-14, 1.937e-14, -3.128e-14, 1.367e-15, 7.936e-16, -6.367e-16
14.500, 3.237e-14, 1.956e-14, -3.138e-14, 1.371e-15, 7.965e-16, -6.324e-16
14.600, 3.269e-14, 1.976e-14, -3.148e-14, 1.375e-15, 7.994e-16, -6.282e-16
14.700, 3.302e-14, 1.995e-14, -3.158e-14, 1.378e-15, 8.022e-16, -6.239e-16
14.800, 3.335e-14, 2.015e-14, -3.168e-14, 1.382e-15, 8.050e-16, -6.198e-16
14.900, 3.367e-14, 2.035e-14, -3.178e-14, 1.385e-15, 8.078e-16, -6.156e-16
15.000, 3.400e-14, 2.054e-14, -3.188e-14, 1.388e-15, 8.105e-16, -6.115e-16
15.100, 3.432e-14, 2.074e-14, -3.198e-14, 1.391e-15, 8.131e-16, -6.075e-16
15.200, 3.465e-14, 2.094e-14, -3.208e-14, 1.394e-15, 8.158e-16, -6.035e-16
15.300, 3.497e-14, 2.114e-14, -3.217e-14, 1.397e-15, 8.184e-16, -5.995e-16
15.400, 3.530e-14, 2.133e-14, -3.227e-14, 1.399e-15, 8.209e-16, -5.955e-16
15.500, 3.562e-14, 2.153e-14, -3.236e-14, 1.402e-15, 8.234e-16, -5.916e-16
15.600, 3.595e-14, 2.173e-14, -3.246e-14, 1.405e-15, 8.259e-16, -5.878e-16
15.700, 3.627e-14, 2.193e-14, -3.255e-14, 1.407e-15, 8.284e-16, -5.840e-16
15.800, 3.660e-14, 2.213e-14, -3.264e-14, 1.409e-15, 8.308e-16, -5.802e-16
15.900, 3.692e-14, 2.232e-14, -3.274e-14, 1.411e-15, 8.332e-16, -5.765e-16
16.000, 3.724e-14, 2.252e-14, -3.283e-14, 1.414e-15, 8.355e-16, -5.728e-16
16.100, 3.756e-14, 2.272e-14, -3.292e-14, 1.416e-15, 8.378e-16, -5.691e-16
16.200, 3.789e-14, 2.292e-14, -3.301e-14, 1.418e-15, 8.401e-16, -5.655e-16
16.300, 3.821e-14, 2.312e-14, -3.310e-14, 1.419e-15, 8.423e-16, -5.619e-16
16.400, 3.853e-14, 2.332e-14, -3.319e-14, 1.421e-15, 8.446e-16, -5.584e-16
16.500, 3.885e-14, 2.352e-14, -3.328e-14, 1.423e-15, 8.467e-16, -5.549e-16
16.600, 3.917e-14, 2.372e-14, -3.337e-14, 1.424e-15, 8.489e-16, -5.514e-16
16.700, 3.949e-14, 2.392e-14, -3.346e-14, 1.426e-15, 8.510e-16, -5.480e-16
16.800, 3.981e-14, 2.412e-14, -3.355e-14, 1.427e-15, 8.531e-16, -5.446e-16
16.900, 4.013e-14, 2.432e-14, -3.364e-14, 1.428e-15, 8.551e-16, -5.412e-16
17.000, 4.045e-14, 2.452e-14, -3.373e-14, 1.430e-15, 8.571e-16, -5.379e-16
17.100, 4.077e-14, 2.473e-14, -3.381e-14, 1.431e-15, 8.591e-16, -5.346e-16
17.200, 4.109e-14, 2.493e-14, -3.390e-14, 1.432e-15, 8.611e-16, -5.314e-16
17.300, 4.140e-14, 2.513e-14, -3.398e-14, 1.433e-15, 8.630e-16, -5.282e-16
17.400, 4.172e-14, 2.533e-14, -3.407e-14, 1.434e-15, 8.649e-16, -5.250e-16
17.500, 4.204e-14, 2.553e-14, -3.416e-14, 1.434e-15, 8.667e-16, -5.219e-16
17.600, 4.235e-14, 2.573e-14, -3.424e-14, 1.435e-15, 8.686e-16, -5.188e-16
17.700, 4.267e-14, 2.594e-14, -3.432e-14, 1.436e-15, 8.704e-16, -5.157e-16
17.800, 4.299e-14, 2.614e-14, -3.441e-14, 1.436e-15, 8.722e-16, -5.127e-16
17.900, 4.330e-14, 2.634e-14, -3.449e-14, 1.437e-15, 8.739e-16, -5.097e-16
18.000, 4.361e-14, 2.654e-14, -3.457e-14, 1.437e-15, 8.757e-16, -5.067e-16
18.100, 4.393e-14, 2.674e-14, -3.466e-14, 1.438e-15, 8.774e-16, -5.038e-16
18.200, 4.424e-14, 2.695e-14, -3.474e-14, 1.438e-15, 8.790e-16, -5.009e-16
18.300, 4.455e-14, 2.715e-14, -3.482e-14, 1.438e-15, 8.807e-16, -4.980e-16
18.400, 4.487e-14, 2.735e-14, -3.490e-14, 1.438e-15, 8.823e-16, -4.952e-16
18.500, 4.518e-14, 2.756e-14, -3.498e-14, 1.439e-15, 8.839e-16, -4.924e-16
18.600, 4.549e-14, 2.776e-14, -3.506e-14, 1.439e-15, 8.854e-16, -4.896e-16
18.700, 4.580e-14, 2.796e-14, -3.514e-14, 1.439e-15, 8.870e-16, -4.869e-16
18.800, 4.611e-14, 2.817e-14, -3.522e-14, 1.438e-15, 8.885e-16, -4.842e-16
18.900, 4.642e-14, 2.837e-14, -3.530e-14, 1.438e-15, 8.900e-16, -4.815e-16
19.000, 4.673e-14, 2.857e-14, -3.538e-14, 1.438e-15, 8.915e-16, -4.789e-16
19.100, 4.703e-14, 2.878e-14, -3.546e-14, 1.438e-15, 8.929e-16, -4.762e-16
19.200, 4.734e-14, 2.898e-14, -3.554e-14, 1.438e-15, 8.943e-16, -4.737e-16
19.300, 4.765e-14, 2.918e-14, -3.561e-14, 1.437e-15, 8.957e-16, -4.711e-16
19.400, 4.796e-14, 2.939e-14, -3.569e-14, 1.437e-15, 8.971e-16, -4.686e-16
19.500, 4.826e-14, 2.959e-14, -3.577e-14, 1.436e-15, 8.984e-16, -4.661e-16
19.600, 4.857e-14, 2.980e-14, -3.584e-14, 1.436e-15, 8.998e-16, -4.636e-16
19.700, 4.887e-14, 3.000e-14, -3.592e-14, 1.435e-15, 9.011e-16, -4.612e-16
19.800, 4.918e-14, 3.020e-14, -3.600e-14, 1.434e-15, 9.024e-16, -4.588e-16
19.900, 4.948e-14, 3.041e-14, -3.607e-14, 1.434e-15, 9.036e-16, -4.564e-16
20.000, 4.978e-14, 3.061e-14, -3.615e-14, 1.433e-15, 9.049e-16, -4.540e-16
20.100, 5.008e-14, 3.082e-14, -3.622e-14, 1.432e-15, 9.061e-16, -4.517e-16
20.200, 5.038e-14, 3.102e-14, -3.630e-14, 1.431e-15, 9.073e-16, -4.494e-16
20.300, 5.069e-14, 3.123e-14, -3.637e-14, 1.430e-15, 9.084e-16, -4.471e-16
20.400, 5.099e-14, 3.143e-14, -3.645e-14, 1.429e-15, 9.096e-16, -4.449e-16
20.500, 5.129e-14, 3.163e-14, -3.652e-14, 1.428e-15, 9.107e-16, -4.427e-16
20.600, 5.158e-14, 3.184e-14, -3.659e-14, 1.427e-15, 9.119e-16, -4.405e-16
20.700, 5.188e-14, 3.204e-14, -3.667e-14, 1.426e-15, 9.129e-16, -4.383e-16
20.800, 5.218e-14, 3.225e-14, -3.674e-14, 1.425e-15, 9.140e-16, -4.362e-16
20.900, 5.248e-14, 3.245e-14, -3.681e-14, 1.424e-15, 9.151e-16, -4.341e-16
21.000, 5.277e-14, 3.266e-14, -3.688e-14, 1.423e-15, 9.161e-16, -4.320e-16
21.100, 5.307e-14, 3.286e-14, -3.696e-14, 1.422e-15, 9.171e-16, -4.299e-16
21.200, 5.336e-14, 3.307e-14, -3.703e-14, 1.420e-15, 9.181e-16, -4.279e-16
21.300, 5.366e-14, 3.327e-14, -3.710e-14, 1.419e-15, 9.191e-16, -4.258e-16
21.400, 5.395e-14, 3.348e-14, -3.717e-14, 1.418e-15, 9.201e-16, -4.238e-16
21.500, 5.425e-14, 3.368e-14, -3.724e-14, 1.416e-15, 9.210e-16, -4.219e-16
21.600, 5.454e-14, 3.389e-14, -3.731e-14, 1.415e-15, 9.220e-16, -4.199e-16
21.700, 5.483e-14, 3.409e-14, -3.738e-14, 1.413e-15, 9.229e-16, -4.180e-16
21.800, 5.512e-14, 3.430e-14, -3.745e-14, 1.412e-15, 9.238e-16, -4.161e-16
21.900, 5.541e-14, 3.450e-14, -3.752e-14, 1.410e-15, 9.246e-16, -4.142e-16
22.000, 5.570e-14, 3.471e-14, -3.759e-14, 1.409e-15, 9.255e-16, -4.124e-16
22.100, 5.599e-14, 3.491e-14, -3.766e-14, 1.407e-15, 9.263e-16, -4.105e-16
22.200, 5.628e-14, 3.512e-14, -3.773e-14, 1.405e-15, 9.272e-16, -4.087e-16
22.300, 5.657e-14, 3.532e-14, -3.780e-14, 1.404e-15, 9.280e-16, -4.069e-16
22.400, 5.685e-14, 3.553e-14, -3.787e-14, 1.402e-15, 9.288e-16, -4.051e-16
22.500, 5.714e-14, 3.573e-14, -3.793e-14, 1.400e-15, 9.296e-16, -4.034e-16
22.600, 5.742e-14, 3.594e-14, -3.800e-14, 1.398e-15, 9.303e-16, -4.017e-16
22.700, 5.771e-14, 3.615e-14, -3.807e-14, 1.397e-15, 9.311e-16, -3.999e-16
22.800, 5.799e-14, 3.635e-14, -3.814e-14, 1.395e-15, 9.318e-16, -3.983e-16
22.900, 5.828e-14, 3.656e-14, -3.820e-14, 1.393e-15, 9.325e-16, -3.966e-16
23.000, 5.856e-14, 3.676e-14, -3.827e-14, 1.391e-15, 9.332e-16, -3.949e-16
23.100, 5.884e-14, 3.697e-14, -3.834e-14, 1.389e-15, 9.339e-16, -3.933e-16
23.200, 5.912e-14, 3.717e-14, -3.840e-14, 1.387e-15, 9.346e-16, -3.917e-16
23.300, 5.940e-14, 3.738e-14, -3.847e-14, 1.385e-15, 9.353e-16, -3.901e-16
23.400, 5.968e-14, 3.758e-14, -3.854e-14, 1.383e-15, 9.359e-16, -3.885e-16
23.500, 5.996e-14, 3.779e-14, -3.860e-14, 1.381e-15, 9.365e-16, -3.870e-16
23.600, 6.024e-14, 3.799e-14, -3.867e-14, 1.379e-15, 9.372e-16, -3.854e-16
23.700, 6.052e-14, 3.820e-14, -3.873e-14, 1.377e-15, 9.378e-16, -3.839e-16
23.800, 6.080e-14, 3.840e-14, -3.880e-14, 1.375e-15, 9.384e-16, -3.824e-16
23.900, 6.107e-14, 3.861e-14, -3.886e-14, 1.373e-15, 9.390e-16, -3.809e-16
24.000, 6.135e-14, 3.881e-14, -3.893e-14, 1.370e-15, 9.395e-16, -3.795e-16
24.100, 6.162e-14, 3.902e-14, -3.899e-14, 1.368e-15, 9.401e-16, -3.780e-16
24.200, 6.190e-14, 3.922e-14, -3.906e-14, 1.366e-15, 9.406e-16, -3.766e-16
24.300, 6.217e-14, 3.943e-14, -3.912e-14, 1.364e-15, 9.411e-16, -3.752e-16
24.400, 6.244e-14, 3.963e-14, -3.919e-14, 1.362e-15, 9.417e-16, -3.738e-16
24.500, 6.272e-14, 3.984e-14, -3.925e-14, 1.359e-15, 9.422e-16, -3.724e-16
24.600, 6.299e-14, 4.004e-14, -3.931e-14, 1.357e-15, 9.427e-16, -3.710e-16
24.700, 6.326e-14, 4.025e-14, -3.938e-14, 1.355e-15, 9.432e-16, -3.697e-16
24.800, 6.353e-14, 4.045e-14, -3.944e-14, 1.352e-15, 9.436e-16, -3.683e-16
24.900, 6.380e-14, 4.066e-14, -3.950e-14, 1.350e-15, 9.441e-16, -3.670e-16
25.000, 6.406e-14, 4.086e-14, -3.957e-14, 1.348e-15, 9.445e-16, -3.657e-16
25.100, 6.433e-14, 4.107e-14, -3.963e-14, 1.345e-15, 9.450e-16, -3.644e-16
25.200, 6.460e-14, 4.127e-14, -3.969e-14, 1.343e-15, 9.454e-16, -3.632e-16
25.300, 6.487e-14, 4.148e-14, -3.975e-14, 1.341e-15, 9.458e-16, -3.619e-16
25.400, 6.513e-14, 4.168e-14, -3.981e-14, 1.338e-15, 9.462e-16, -3.607e-16
25.500, 6.540e-14, 4.189e-14, -3.988e-14, 1.336e-15, 9.466e-16, -3.594e-16
25.600, 6.566e-14, 4.209e-14, -3.994e-14, 1.333e-15, 9.470e-16, -3.582e-16
25.700, 6.592e-14, 4.230e-14, -4.000e-14, 1.331e-15, 9.474e-16, -3.570e-16
25.800, 6.619e-14, 4.250e-14, -4.006e-14, 1.328e-15, 9.477e-16, -3.558e-16
25.900, 6.645e-14, 4.270e-14, -4.012e-14, 1.326e-15, 9.481e-16, -3.547e-16
26.000, 6.671e-14, 4.291e-14, -4.018e-14, 1.323e-15, 9.484e-16, -3.535e-16
26.100, 6.697e-14, 4.311e-14, -4.024e-14, 1.321e-15, 9.488e-16, -3.524e-16
26.200, 6.723e-14, 4.332e-14, -4.031e-14, 1.318e-15, 9.491e-16, -3.513e-16
26.300, 6.749e-14, 4.352e-14, -4.037e-14, 1.316e-15, 9.494e-16, -3.501e-16
26.400, 6.775e-14, 4.373e-14, -4.043e-14, 1.313e-15, 9.497e-16, -3.490e-16
26.500, 6.800e-14, 4.393e-14, -4.049e-14, 1.310e-15, 9.500e-16, -3.479e-16
