Name,CAS,Acronym,Formula,Lifetime (yr),Radiative efficiency (W m-2 ppb-1),AGWP20 (W m-2 yr kg-1),GWP20,AGWP100 (W m-2 yr kg-1),GWP100,AGWP500 (W m-2 yr kg-1),GWP500,AGTP50 (K kg-1),GTP50,AGTP100 (K kg-1),GTP100,CGTP50 (yr),CGTP100 (yr)
"1,1,1,2,2,3,3-heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)propane","=""3330-15-2""",,CF3CF2CF2OCHFCF3,59.4,0.591,2.02e-10,8320.0,5.93e-10,6630.0,7.33e-10,2340.0,2.93e-12,6860.0,1.63e-12,4140.0,,
"2,2,3,3-tetrafluoropropan-1-ol","=""76-37-9""",,CHF2CF2CH2OH,0.255,0.112,1.27e-12,52.0,1.29e-12,14.4,1.29e-12,4.12,1.36e-15,3.17,1.03e-15,2.6,1480.0,1750.0
"2,2,3,4,4,4-hexafluorobutan-1-ol","=""382-31-0""",,CF3CHFCF2CH2OH,0.367,0.227,2.67e-12,110.0,2.73e-12,30.5,2.73e-12,8.69,2.87e-15,6.7,2.17e-15,5.5,3130.0,3700.0
"1,1,2,2-tetrafluoro-3-methoxypropane","=""60598-17-6""",,CHF2CF2CH2OCH3,0.071,0.052,1.47e-13,6.03,1.5e-13,1.68,1.5e-13,0.478,1.57e-16,0.367,1.19e-16,0.302,172.0,203.0
"1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)pentan-3-one","=""756-13-8""",,CF3CF2COCF(CF3)2,0.019,0.028,1e-14,0.411,1.02e-14,0.114,1.02e-14,0.033,1.07e-17,0.025,8.12e-18,0.021,11.7,13.9
"3,3,3-trifluoropropanal","=""460-40-2""",,CF3CH2CHO,0.008,0.005,2.21e-15,0.091,2.25e-15,0.025,2.25e-15,0.007,2.36e-18,0.006,1.79e-18,0.005,2.58,3.06
2-fluoroethanol,"=""371-62-0""",,CH2FCH2OH,0.044,0.012,4.65e-14,1.91,4.74e-14,0.53,4.74e-14,0.151,4.97e-17,0.116,3.77e-17,0.095,54.4,64.4
"2,2-difluoroethanol","=""359-13-7""",,CHF2CH2OH,0.167,0.046,5.42e-13,22.3,5.53e-13,6.18,5.53e-13,1.76,5.8e-16,1.36,4.4e-16,1.11,634.0,751.0
"2,2,2-trifluoroethanol","=""75-89-8""",,CF3CH2OH,0.458,0.117,3.13e-12,129.0,3.2e-12,35.7,3.2e-12,10.2,3.36e-15,7.86,2.54e-15,6.44,3660.0,4340.0
,"=""173350-38-4""",HG-04,CHF2O(CF2CF2O)4CHF2,26.9,1.46,2.04e-10,8400.0,3.92e-10,4380.0,4.03e-10,1280.0,1.56e-12,3660.0,5.38e-13,1360.0,,
Methyl-perfluoroheptene-ethers,"=""""",,CH3OC7F13,0.304,0.27,1.32e-12,54.4,1.35e-12,15.1,1.35e-12,4.3,1.42e-15,3.31,1.07e-15,2.72,1550.0,1830.0
"1,1,1-trifluoropropan-2-one","=""421-50-1""",,CF3COCH3,0.014,0.011,7.88e-15,0.324,8.04e-15,0.09,8.04e-15,0.026,8.41e-18,0.02,6.39e-18,0.016,9.23,10.9
"1,1,1-trifluorobutan-2-one","=""381-88-4""",,CF3COCH2CH3,0.018,0.01,8.34e-15,0.343,8.51e-15,0.095,8.51e-15,0.027,8.91e-18,0.021,6.76e-18,0.017,9.77,11.6
1-chloro-2-ethenoxyethane,"=""110-75-8""",2ClEVE,ClCH2CH2OCH=CH2,0.0,0.001,1.65e-17,0.001,1.68e-17,0.0,1.68e-17,0.0,1.76e-20,0.0,1.33e-20,0.0,0.019,0.023
Ethane,"=""74-84-0""",,C2H6,0.159,0.001,3.83e-14,1.57,3.91e-14,0.437,3.91e-14,0.125,4.1e-17,0.096,3.11e-17,0.079,44.8,53.0
Propane,"=""74-98-6""",,C3H8,0.036,0.0,1.75e-15,0.072,1.78e-15,0.02,1.78e-15,0.006,1.87e-18,0.004,1.41e-18,0.004,2.04,2.42
Butane,"=""106-97-8""",,n-C4H10,0.019,0.0,5.42e-16,0.022,5.53e-16,0.006,5.53e-16,0.002,5.79e-19,0.001,4.4e-19,0.001,0.635,0.751
2-methylpentan-3-one,"=""565-69-5""",,CH3CH2COCH(CH3)2,0.015,0.02,1.75e-14,0.719,1.79e-14,0.2,1.79e-14,0.057,1.87e-17,0.044,1.42e-17,0.036,20.5,24.3
Ethyl methyl ether,"=""540-67-0""",,CH3CH2OCH3,0.005,0.002,8.56e-16,0.035,8.73e-16,0.01,8.73e-16,0.003,9.14e-19,0.002,6.94e-19,0.002,1.0,1.19
"2,2,3,3,4,4,5,5-octafluorooxolane","=""773-14-8""",Octafluorooxolane,c-C4F8O,3000.0,0.463,2.46e-10,10100.0,1.24e-09,13900.0,5.89e-09,18800.0,6.18e-12,14500.0,6.65e-12,16900.0,,
Crotonaldehyde,"=""4170-30-3""",,CH3CH=CHCHO,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Methyl vinyl ketone,"=""78-94-4""",MVK,CH3COCH=CH2,0.001,0.0,2.48e-17,0.001,2.53e-17,0.0,2.53e-17,0.0,2.64e-20,0.0,2.01e-20,0.0,0.029,0.034
Allyl ether,"=""557-40-4""",AE,(CH2=CHCH2)2O,0.0,0.001,1.19e-17,0.0,1.21e-17,0.0,1.21e-17,0.0,1.27e-20,0.0,9.650000000000001e-21,0.0,0.014,0.017
Allyl ethyl ether,"=""557-31-3""",AEE,CH3CH2OCH2CH=CH2,0.001,0.001,3.39e-17,0.001,3.46e-17,0.0,3.46e-17,0.0,3.62e-20,0.0,2.75e-20,0.0,0.04,0.047
(z)-hex-2-en-1-ol,"=""928-94-9""",,CH3CH2CH2CH=CHCH2OH,0.0,0.038,2.23e-16,0.009,2.28e-16,0.003,2.28e-16,0.001,2.38e-19,0.001,1.81e-19,0.0,0.261,0.309
(e)-hex-2-en-1-ol,"=""928-95-0""",,CH3CH2CH2CH=CHCH2OH,0.0,0.036,2.08e-16,0.009,2.12e-16,0.002,2.12e-16,0.001,2.22e-19,0.001,1.68e-19,0.0,0.243,0.288
3-butenenitrile,"=""109-75-1""",Allyl cyanide,CH2=CHCH2CN,0.002,0.0,4.08e-17,0.002,4.16e-17,0.0,4.16e-17,0.0,4.35e-20,0.0,3.3e-20,0.0,0.048,0.056
Hexamethyldisiloxane,"=""107-46-0""",,C6H18OSi2,0.025,0.047,4.18e-14,1.72,4.26e-14,0.476,4.26e-14,0.136,4.46e-17,0.104,3.39e-17,0.086,48.9,57.9
Octamethyltrisiloxane,"=""107-51-7""",,C8H24O2Si3,0.019,0.06,2.85e-14,1.17,2.9e-14,0.325,2.9e-14,0.093,3.04e-17,0.071,2.31e-17,0.058,33.3,39.4
Decamethyltetrasiloxane,"=""141-62-8""",,C10H30O3Si4,0.014,0.06,1.55e-14,0.635,1.58e-14,0.176,1.58e-14,0.05,1.65e-17,0.039,1.25e-17,0.032,18.1,21.4
Dodecamethylpentasiloxane,"=""141-63-9""",,C12H36O4Si5,0.011,0.064,1.07e-14,0.439,1.09e-14,0.122,1.09e-14,0.035,1.14e-17,0.027,8.67e-18,0.022,12.5,14.8
Hexamethylcyclotrisiloxane,"=""541-05-9""",,C6H18O3Si3,0.038,0.1,1.01e-13,4.14,1.03e-13,1.15,1.03e-13,0.328,1.08e-16,0.252,8.18e-17,0.207,118.0,140.0
Octamethylcyclotetrasiloxane,"=""556-67-2""",,C8H24O4Si4,0.027,0.12,6.48e-14,2.66,6.61e-14,0.739,6.61e-14,0.211,6.92e-17,0.162,5.25e-17,0.133,75.9,89.8
Decamethylcyclopentasiloxane,"=""541-02-6""",,C10H30O5Si5,0.016,0.098,2.53e-14,1.04,2.58e-14,0.289,2.58e-14,0.082,2.71e-17,0.063,2.05e-17,0.052,29.7,35.1
Dodecamethylcyclohexasiloxane,"=""540-97-6""",,C12H36O6Si6,0.011,0.086,1.24e-14,0.51,1.27e-14,0.142,1.27e-14,0.04,1.33e-17,0.031,1.01e-17,0.026,14.6,17.2
