Name,CAS,Acronym,Formula,Lifetime (yr),Radiative efficiency (W m-2 ppb-1),AGWP20 (W m-2 yr kg-1),GWP20,AGWP100 (W m-2 yr kg-1),GWP100,AGWP500 (W m-2 yr kg-1),GWP500,AGTP50 (K kg-1),GTP50,AGTP100 (K kg-1),GTP100,CGTP50 (yr),CGTP100 (yr)
"1,1,1,2,2-pentafluoroethane","=""354-33-6""",HFC-125,CHF2CF3,30.0,0.234,1.64e-10,6740.0,3.35e-10,3740.0,3.49e-10,1110.0,1.41e-12,3300.0,5.12e-13,1300.0,,
"1,1,2,2-tetrafluoroethane","=""359-35-3""",HFC-134,CHF2CHF2,10.0,0.194,9.5e-11,3900.0,1.13e-10,1260.0,1.13e-10,361.0,1.8e-13,420.0,9.44e-14,239.0,126000.0,151000.0
"1,1,1,2-tetrafluoroethane","=""811-97-2""",HFC-134a,CH2FCF3,14.0,0.167,1.01e-10,4140.0,1.37e-10,1530.0,1.37e-10,436.0,3.14e-13,733.0,1.21e-13,306.0,147000.0,181000.0
"1,1,2-trifluoroethane","=""430-66-0""",HFC-143,CH2FCHF2,3.6,0.128,3.17e-11,1300.0,3.26e-11,364.0,3.26e-11,104.0,3.53e-14,82.6,2.63e-14,66.6,37100.0,44000.0
"1,1,1-trifluoroethane","=""420-46-2""",HFC-143a,CH3CF3,51.0,0.168,1.91e-10,7840.0,5.2e-10,5810.0,6.09e-10,1940.0,2.53e-12,5910.0,1.28e-12,3250.0,,
"1,2-difluoroethane","=""624-72-6""",HFC-152,CH2FCH2F,0.471,0.045,1.89e-12,77.6,1.93e-12,21.5,1.93e-12,6.14,2.03e-15,4.74,1.53e-15,3.89,2210.0,2610.0
"1,1-difluoroethane","=""75-37-6""",HFC-152a,CH3CHF2,1.6,0.102,1.44e-11,591.0,1.47e-11,164.0,1.47e-11,46.8,1.56e-14,36.5,1.18e-14,29.8,16800.0,19900.0
Fluoroethane,"=""353-36-6""",HFC-161,CH3CH2F,0.219,0.016,4.24e-13,17.4,4.33e-13,4.84,4.33e-13,1.38,4.54e-16,1.06,3.44e-16,0.872,497.0,588.0
"1,1,1,2,2,3,3-heptafluoropropane","=""2252-84-8""",HFC-227ca,CF3CF2CHF2,30.0,0.264,1.31e-10,5370.0,2.67e-10,2980.0,2.78e-10,885.0,1.12e-12,2620.0,4.07e-13,1030.0,,
"1,1,1,2,3,3,3-heptafluoropropane","=""431-89-0""",HFC-227ea,CF3CHFCF3,36.0,0.273,1.42e-10,5850.0,3.22e-10,3600.0,3.45e-10,1100.0,1.45e-12,3400.0,5.88e-13,1490.0,,
"1,1,1,2,2,3-hexafluoropropane","=""677-56-5""",HFC-236cb,CH2FCF2CF3,13.4,0.231,9.12e-11,3750.0,1.21e-10,1350.0,1.21e-10,387.0,2.65e-13,620.0,1.06e-13,268.0,131000.0,161000.0
"1,1,1,2,3,3-hexafluoropropane","=""431-63-0""",HFC-236ea,CHF2CHFCF3,11.4,0.3,1.08e-10,4420.0,1.34e-10,1500.0,1.34e-10,428.0,2.45e-13,572.0,1.14e-13,288.0,147000.0,179000.0
"1,1,1,3,3,3-hexafluoropropane","=""690-39-1""",HFC-236fa,CF3CH2CF3,213.0,0.251,1.81e-10,7450.0,7.77e-10,8690.0,1.9e-09,6040.0,3.93e-12,9200.0,3.5e-12,8870.0,,
"1,1,2,2,3-pentafluoropropane","=""679-86-7""",HFC-245ca,CH2FCF2CHF2,6.6,0.24,6.53e-11,2680.0,7.05e-11,787.0,7.05e-11,225.0,8.36e-14,196.0,5.76e-14,146.0,79600.0,94700.0
